Category,Subtype,Name,Latitude,Longitude
Religious,place_of_worship,Unnamed,24.789901,46.781542
Religious,place_of_worship,جامع عبد العظيم البسام وحرمه,24.794247,46.77989
Religious,place_of_worship,Unnamed,24.791554,46.776148
Religious,place_of_worship,Unnamed,24.788565,46.785204
Religious,place_of_worship,Unnamed,24.787351,46.786879
Religious,place_of_worship,Unnamed,24.797723,46.786313
Religious,place_of_worship,Unnamed,24.803717,46.798705
Religious,place_of_worship,Unnamed,24.797737,46.800143
Religious,place_of_worship,Unnamed,24.797251,46.803585
Religious,place_of_worship,Unnamed,24.795867,46.798439
Religious,place_of_worship,Unnamed,24.803307,46.804736
Religious,place_of_worship,Unnamed,24.703466,46.844101
Religious,place_of_worship,Unnamed,24.706804,46.843076
Religious,place_of_worship,Unnamed,24.700752,46.849364
Religious,place_of_worship,Unnamed,24.704683,46.82026
Religious,place_of_worship,Unnamed,24.707138,46.815373
Religious,place_of_worship,Unnamed,24.702617,46.823979
Religious,place_of_worship,Mosque of Ezz bin Abdul Salam,24.701693,46.814642
Religious,place_of_worship,Unnamed,24.718309,46.810201
Religious,place_of_worship,Unnamed,24.708669,46.808515
Religious,place_of_worship,Unnamed,24.714413,46.804127
Religious,place_of_worship,Unnamed,24.713331,46.814184
Religious,place_of_worship,Unnamed,24.7115,46.810682
Religious,place_of_worship,ذي النورين,24.699237,46.809088
Religious,place_of_worship,Unnamed,24.702794,46.809107
Religious,place_of_worship,Unnamed,24.694711,46.805299
Religious,place_of_worship,Unnamed,24.698276,46.803212
Religious,place_of_worship,Unnamed,24.69621,46.814226
Religious,place_of_worship,Unnamed,24.692231,46.801714
Religious,place_of_worship,Unnamed,24.689217,46.804398
Religious,place_of_worship,Unnamed,24.6907,46.80809
Religious,place_of_worship,Unnamed,24.689314,46.830475
Religious,place_of_worship,Unnamed,24.686074,46.824459
Religious,place_of_worship,جابر بن عبدالله الأنصاري,24.68337,46.824221
Religious,place_of_worship,Unnamed,24.685234,46.82827
Religious,place_of_worship,Unnamed,24.679854,46.829437
Religious,place_of_worship,Unnamed,24.684792,46.838838
Religious,place_of_worship,Unnamed,24.678242,46.785764
Religious,place_of_worship,مسجد جعفر الطيار,24.682073,46.791788
Religious,place_of_worship,مسجد الشيخ البليهي,24.681226,46.7872
Religious,place_of_worship,Unnamed,24.753451,46.749813
Religious,place_of_worship,Unnamed,24.744979,46.752943
Religious,place_of_worship,Unnamed,24.773656,46.736432
Religious,place_of_worship,Unnamed,24.779141,46.746448
Religious,place_of_worship,Unnamed,24.783221,46.689652
Religious,place_of_worship,Unnamed,24.782772,46.694208
Religious,place_of_worship,مسجد البراء بن مالك,24.783659,46.712554
Religious,place_of_worship,Unnamed,24.786346,46.718881
Religious,place_of_worship,Unnamed,24.778233,46.668809
Religious,place_of_worship,Unnamed,24.782087,46.659855
Religious,place_of_worship,Unnamed,24.785579,46.651865
Religious,place_of_worship,Unnamed,24.760703,46.600883
Religious,place_of_worship,Unnamed,24.649956,46.706973
Religious,place_of_worship,جامع الجوهرة بنت سعود الكبير,24.75676,46.752681
Religious,place_of_worship,Unnamed,24.611077,46.603285
Religious,place_of_worship,Unnamed,24.614248,46.606446
Religious,place_of_worship,جامع المدائن,24.608636,46.602407
Religious,place_of_worship,Unnamed,24.572257,46.583319
Religious,place_of_worship,Unnamed,24.623419,46.70488
Religious,place_of_worship,Unnamed,24.671969,46.664011
Religious,place_of_worship,Unnamed,24.80171,46.778753
Religious,place_of_worship,Unnamed,24.820074,46.774241
Religious,place_of_worship,مسجد الهاجري,24.775866,46.583583
Religious,place_of_worship,جامع نورة الحقباني,24.782394,46.583675
Religious,place_of_worship,جامع,24.776315,46.573167
Religious,place_of_worship,مسجد الطيار,24.685498,46.576987
Religious,place_of_worship,جامع أبو بكر الصديق,24.732173,46.848855
Religious,place_of_worship,مسجد العويضة,24.634119,46.761767
Religious,place_of_worship,مسجد,24.781494,46.621916
Religious,place_of_worship,Unnamed,24.454675,46.986221
Religious,place_of_worship,Unnamed,24.775106,46.661216
Religious,place_of_worship,Unnamed,24.688972,46.64983
Religious,place_of_worship,Unnamed,24.691301,46.650914
Religious,place_of_worship,مسجد,24.52757,46.713701
Religious,place_of_worship,مسجد,24.555063,46.599403
Religious,place_of_worship,مسجد خالد بن الوليد,24.575985,46.775986
Religious,place_of_worship,مسجد علي بن أبي طالب,24.574633,46.779953
Religious,place_of_worship,مسجد سعيد بن زيد,24.579148,46.779887
Religious,place_of_worship,جامع عودة العودة بشبرا,24.577774,46.678863
Religious,place_of_worship,مسجد,24.762718,46.781424
Religious,place_of_worship,مسجد,24.765331,46.782138
Religious,place_of_worship,جامع,24.766792,46.78206
Religious,place_of_worship,مسجد العويمرية الشمالي,24.62705,46.701563
Religious,place_of_worship,مسجد الشميسي قديم,24.627159,46.703042
Religious,place_of_worship,مسجد العريفي,24.586203,46.693174
Religious,place_of_worship,Unnamed,24.660035,46.741794
Religious,place_of_worship,Unnamed,24.66834,46.714465
Religious,place_of_worship,Unnamed,24.672866,46.712848
Religious,place_of_worship,Unnamed,24.617947,46.750085
Religious,place_of_worship,Unnamed,24.647221,46.717359
Religious,place_of_worship,Unnamed,24.609507,46.606224
Religious,place_of_worship,جامع العمار,24.775528,46.588137
