site_id,latitude,longitude
RUHSM136,24.620424801656,46.5808054804802
RUHSM140,24.8769760481679,46.8059206008911
RUHSM141,24.8769687507318,46.8060520291329
RUHSM142,24.5674108328895,46.655505001545
RUHSM144,24.5638614614901,46.717287003994
RUHSM145,24.5687663130558,46.8898630142212
RUHSM147,24.6038597752923,46.6194561123848
RUHSM148,24.6040012164286,46.6193461418152
RUHSM152,24.6854562001529,46.6520261764526
RUHSM153,24.6855219810628,46.6522246599197
RUHSM156,24.7259342868167,46.7802920937538
RUHSM157,24.6409759484262,46.8291538953781
RUHSM160,24.6086054881289,46.7729669809341
RUHSM161,24.6336106991616,46.8119421601295
RUHSM164,24.5796291806517,46.5517866611481
RUHSM165,24.5797877232525,46.5518108010292
RUHSM168,24.5844927893916,46.7547172307968
RUHSM169,24.5982237727608,46.6173076629639
RUHSM170,24.5981359902433,46.6171762347221
RUHSM173,24.7946969705971,46.6560655832291
RUHSM174,24.5079388888788,46.9285324215889
RUHSM175,24.5081024122122,46.9286692142487
RUHSM178,25.0159432570743,46.7664411664009
RUHSM179,25.0158897994536,46.7662614583969
RUHSM180,24.66748117972,46.7952159047127
RUHSM181,24.6672764432188,46.7952185869217
RUHSM182,24.6433261861909,46.8339711427689
RUHSM187,24.642784983054,46.7355394363403
RUHSM188,24.6011674755442,46.6398543119431
RUHSM189,24.6013016369983,46.6397336125374
RUHSM190,24.6326745415304,46.5654820203781
RUHSM191,24.8129651971553,46.6760292649269
RUHSM192,24.8127826050202,46.6761177778244
RUHSM195,24.7299152397197,46.8647655844688
RUHSM196,24.7999978581173,46.6526859998703
RUHSM198,24.7694781484828,46.6684493422508
RUHSM201,24.615255335399,46.7573323845863
RUHSM207,24.7444197548951,46.6082498431206
RUHSM208,24.823774152058,46.7285388708115
RUHSM209,24.8236621627272,46.7282545566559
RUHSM210,24.7432407032976,46.8001833558083
RUHSM211,24.7433162129597,46.8002933263779
RUHSM212,24.6725825464765,46.8299263715744
RUHSM213,24.6725337944213,46.8298190832138
RUHSM216,24.5872366876198,46.5884765982628
RUHSM217,24.5871147808519,46.5885651111603
RUHSM218,24.7088894173431,46.8437933921814
RUHSM221,24.6402519488123,46.75511687994
RUHSM224,24.7455602489784,46.8242803215981
