lat,lon,name,name_ar,category,subcategory,address
24.6459137,46.7255147,الأنجب بن أبي السعادات,,place,,
24.6445065,46.7280113,محمد بن سعيد البلخي,,place,,
24.6459041,46.7282492,يعقوب بن أبي الفضل,,place,,
24.6441641,46.7263827,أبي طالب البغدادي,,place,,
24.64401,46.7257904,رشيد الهاشمي,رشيد الهاشمي,place,,
24.6450023,46.7324019,شعيب القيني,,place,,
24.6450724,46.7303996,حمزة بن أبي الحسن,,place,,
24.6449424,46.7297555,ابن أبي العوام,,place,,
24.6447337,46.7288202,خليل الصفدي,,place,,
24.6450658,46.7283441,يعقوب بن أبي الفضل,,place,,
24.646958,46.7322081,الخرج,,place,,
24.6454639,46.7281152,أسد بن الفرات,,place,,
24.6465677,46.7273539,ابن الأنباري,,place,,
24.6446527,46.7285758,السند,,place,,
24.6451336,46.7334067,الخرج,,place,,
24.639915,46.7292054,أحمد بن فارس,,place,,
24.651172,46.7335792,شارع الزبير بن بكار,,place,,
24.6490658,46.7299419,شارع أم العلا بنت الحافظ,,place,,
24.6505092,46.7330685,شارع أحمد الوراق,,place,,
24.6503722,46.7335066,شارع أثال,,place,,
24.6438432,46.7169549,Al Rajhi Towers,,place,,
24.6427175,46.7166842,شارع عبد العزيز بن مساعد بن جلوي,,place,,
24.6409069,46.7181856,مركز جمال,,place,,شارع عبد العزيز بن مساعد بن جلوي
24.6461232,46.7165906,مركز إلكترون,,place,,
24.642533,46.7145615,مركز الشمسية التجاري,,place,,
24.6436384,46.7159307,شركة اسمنت اليمامة,,place,,
24.6432446,46.7151362,يحيى الحميدي,,place,,
24.6429291,46.7153524,حنين بن إسحاق,,place,,
24.692831,46.7060739,المسار الأخضر,المسار الأخضر,place,,
24.650588,46.7303391,شارع الزبير بن بكار,,place,,
24.66569,46.7166983,طريق الملك عبدالعزيز,طريق الملك عبدالعزيز,place,,
24.6521013,46.7162144,طريق الملك عبدالعزيز,طريق الملك عبدالعزيز,place,,
24.6418319,46.7165691,خلف بن سعد,,place,,
24.6410149,46.7161214,الحمادة,,place,,
24.6412537,46.7171343,وادي سلم,,place,,
24.6409191,46.7171809,حسين بن حامد,,place,,
24.6470329,46.7270968,محمد الخلف,,place,,
24.6422953,46.7245481,عمر المختار,,place,,
24.6434772,46.7230574,الأنوار,,place,,
24.6424167,46.7229069,الأميلح,,place,,
24.6419712,46.7182847,الخليصة,,place,,
24.6431575,46.7186107,البحرية,,place,,
24.6427876,46.7176518,النصية,,place,,
24.6427932,46.7279079,عمر المختار,,place,,
24.6412399,46.7193515,البرج,,place,,
24.6416603,46.7205155,الباطن,,place,,
24.6463782,46.7323873,الخرج,الخرج,place,,
24.6427603,46.7184152,البحار,,place,,
24.6489948,46.7194298,الغرابي,,place,,
24.6495859,46.7223111,عمر بن الخطاب,,place,,
24.6441249,46.7174651,Unnamed,,amenity,parking,
24.6462568,46.715354,شارع عبد العزيز بن مساعد بن جلوي,,place,,
24.6477467,46.7295606,عمر بن الخطاب,,place,,
24.6480338,46.728331,عمر بن الخطاب,,place,,
24.6484724,46.7266209,عمر بن الخطاب,,place,,
24.6496035,46.7252608,Al Farzdaq Street,,place,,
24.6513853,46.72555,Al Farzdaq Street,,place,,
24.6520299,46.7258556,Al Farzdaq Street,,place,,
24.6489557,46.7249745,الفرزدق,,place,,
24.6488821,46.7250207,الفرزدق,,place,,
24.6461967,46.7319605,أسد بن الفرات,,place,,
24.6463657,46.7318142,أسد بن الفرات,,place,,
24.6474031,46.7309913,الخرج,الخرج,place,,
24.64727,46.7314612,الخرج,الخرج,place,,
24.6423941,46.726586,الفرزدق,,place,,
24.6431441,46.7349977,الخرج,,place,,
24.644194,46.7334085,مركز الريل التجاري,,place,,عمر المختار
24.6502498,46.7153669,E2W HUMAN RESOURCES,,place,,King Abdulaziz Rd
24.651406,46.7272852,Unnamed,,amenity,parking_space,
24.6467064,46.7152807,طريق الملك عبدالعزيز,طريق الملك عبدالعزيز,place,,
24.6461589,46.733163,الخرج,,place,,
24.646813,46.7307043,الخرج,,place,,
24.6455741,46.7324431,السند,,place,,
24.6511589,46.7285893,Ngrid 8058,,place,,
24.6420871,46.7104802,الفوطة,,place,,
24.6464264,46.7151261,الناصرية,,place,,
24.6465306,46.715233,شارع عبد العزيز بن مساعد بن جلوي,,place,,
24.6429274,46.7164721,شارع عبد العزيز بن مساعد بن جلوي,,place,,
24.6467809,46.7151169,شارع عبد العزيز بن مساعد بن جلوي,,place,,
