lat,lon,external_id,title,price,rooms,baths,area,purpose,rent_frequency,location
24.821766918883,46.606454046811,87819711,Fully furnished one bedroom apartment with spacious balcony in Rasf 4 project | for rent.,170000.0,1,3,93.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Malqa
24.717178283569,46.673666887577,87821855,Two Bedrooms in Al Olaya - SATEL 107,100000.0,2,2,137.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Wurud
24.68359292135,46.672425425961,87821886,Luxury Unit in Al Mathar - Full Amenities Building,150000.0,3,3,111.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.665251646829,46.743981332065,87826750,SATEL at La Brise – Unfurnished One Bedroom Apartment,60000.0,1,2,4277.0,for-rent,monthly,KSA > Riyadh > Central Riyadh > Al Malaz
24.683254039166,46.675510259758,87828180,New Studio with Hotel Level Finishing at La Cordia Suite,80000.0,0,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.683241592089,46.675490653898,87828238,New Studio with Hotel Level Finishing at La Cordia Suite,115000.0,2,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.683241592089,46.675490653898,87828239,New Studio with Hotel Level Finishing at La Cordia Suite,115000.0,2,1,2321.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.683584836622,46.672075882898,87832986,Luxury Unit in Al Mathar - Full Amenities Building,135000.0,3,4,111.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Mathar Al Shamali
24.809609561689,46.594625883796,87834165,Two Bedrooms Apartment with Office – Al Malqa,120000.0,2,3,125.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Malqa
24.835352941222,46.655652103018,87834277,Two Bedrooms Apartment – Al Yasmin,100000.0,2,3,159.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Yasmin
24.843786756577,46.681860191686,87796556,"Apartment for rent in Al Narjis, North Riyadh",65000.0,3,3,116.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.889050760372,46.637493382049,87799795,"Apartment For Rent in Al Narjis, North Riyadh",78000.0,3,4,111.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Narjis
24.87076714888,46.621865311092,87799794,"Apartment for Rent in Al Arid, North Riyadh",75000.0,3,3,142.0,for-rent,yearly,KSA > Riyadh > North Riyadh > Al Arid
