EJARID,BORDERNAME,BORDERTYPE,DIMENSIONS,TOP_IMAGE_URL,LANDUSESTATUS,ISACTIVE,DEEDDATEHIJRI,OBJECTID,SUBTYPE,DETAILSLANDUSE,MAINLANDUSE,DATASOURCE,DESCRIPTION,CREATED_DATE,CREATED_USER,LAST_EDITED_DATE,LAST_EDITED_USER,REGION_ID,SECTOR_ID,AMANA_ID,GOVERNORATE_ID,MUNICIPALITY_ID,CITY_ID,DISTRICT_ID,SUBDISTRICTNAME_ID,SUBDIVISIONPLAN_ID,BLOCK_ID,PARCEL_ID,PARCELIDOLD,PARCELSTATUS,MEASUREDAREA,SUBDIVISIONPLANPARTNUMBER,STREET_ID,DEEDNUMBER,SUBDIVISIONPLANNAME_AR,SUBDIVISIONPLANNAME_EN,OWNERSHIPTYPE,SUBDIVISIONPARCELNUMBER,ASBUILTREMARKS,ISLICENSED,ISBUILT,DATEOFLICENSEHIJRI,LICENSENUMBER,NOOFFLOORS,MAINLANDUSEDESCRIPTION,SUBTYPEDESCRIPTION,DETAILSLANDUSEDESCRIPTION,SUBDIVISIONPARCEL_UNIFIED_ID,ISCOMMERCIAL,BUILDINGCONDITION,SUBMUNICIPALITY_ID,LANDUSEDESCRIPTION,GLOBALID,POSTALCODE,AREATYPE,STREETNAME,MUNICIPALITYUNIQUECODE,HEIGHTCONDITION,DATAOWNER,AMANATRACKING,AMANABALADI,MUNICIPALITYBALADI,DISTRICTBALADI,DATEOFLICENSE,BUILDINGCONDITION_ID,PARCELDVELOPED,PARCELINVESTED,PARCELPROPERTY,UNITSNUMBER,PARCELNAME,BLOCKED,UNBLOCKREASON,BLOCKREASON,WATERSERVICE,ELECTRICITYSERVICE,TELECOMESERVICE,WASTEWATERSERVICE,OWNERNAME,BLOCKHDATE,UNBLOCKHDATE,RESIDENTIALUNITS,COMMERCIALUNITS,BUILDINGSTATUS,BUILDINGMATERIAL,RE_PARCELID,IN_PARCELID,FRONTDEFECTION,SIDEDEFECTION,CONSTRUCTIONPERCENTAGE,REARDEFECTION,SHAPE.AREA,SHAPE.LEN
,,,,,,1,,32449327,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,209,0,14415774,,1,449.9876392,,001000010011912,,,,,1136/1,,,,30/01/1441,10966,2,,,,001000010000448,,,001022008,,{F176BDC7-D5A0-4DCA-B1B7-D6730A276055},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-10-16T07:28:03 \\ FACADES_SINGE 2023-04-08T06:04:32,004001,004001017,10014250,,193,,,,3,,1,,,,,,,,,,3,0,,,113752766198,1137527661980001,,,,,4.0161815212499996e-08,0.000843477172082421
,,,,,,1,,32449363,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404068,,2,540.04284852,,001000010008170,,,,,21/1,,,,1417,62,2,,,,001000010000464,,,001022008,,{FC4BDCD5-5E18-4E28-A7C4-CCD15AC8EB0A},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:08:56 \\ FACADES_SINGE 2023-04-08T06:04:21,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113762425972,1137624259720001,,,,,4.819214713e-08,0.000880824390087808
,,,,,,1,,32449364,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14754999,,2,247.48959647,,001000010008170,,,,,22/2/1,,,,1418,466,2,,,,001000010000465,,,001022008,,{F00CF707-7D3E-40E9-AF3F-F84482AA31AB},,,,,,أمانة منطقة الرياض FME,AMUZAYIL_GIS 2023-08-16T11:46:55 \\ AMUZAYIL_GIS 2023-08-16T11:48:54,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113762345970,1137623459700001,,,,,2.2087807302000002e-08,0.0006275890449121821
,,,,,,1,,32449375,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,3,14404075,,2,247.56169832,,001000010006183,,,,,29/6/2,,,,1418,498,,,,,001000010000516,,,001022008,,{B770CF3E-A305-467E-BA4A-24C9605B9E9A},,,,,,أمانة منطقة الرياض FME,MOHAMED_MOSTAFA 2019-08-21T08:12:03 \\ FACADES_SINGE 2023-04-08T06:04:32,004001,004001017,10014250,,1,,,,,,1,,,,,,,,,,,,,,113762245952,1137622459520001,,,,,2.208808009e-08,0.0006275914489336931
,,,,,,1,,32449405,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14312611,,2,400.05710881,,001000010007703,,,,,36/1,,,,02/09/1439,13665,,,,,001000010000546,,,001022008,,{5DA52F9D-0917-4BFC-A38A-0F2B2249FC92},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2018-10-07T09:07:25 \\ FACADES_SINGE 2023-04-08T06:04:47,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113756605836,1137566058360001,,,,,3.5697156114e-08,0.000780939411018407
,,,,,,1,,32449406,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14312627,,2,1000.12474657,,001000010007703,,,,,32,,,,0,0,2,,,,001000010000547,,,001022008,,{99314599-BDDB-4615-8977-50AF9E35940E},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2018-10-07T09:05:54 \\ FACADES_SINGE 2023-04-08T06:04:47,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113756545858,1137565458580001,,,,,8.9244367575e-08,0.0012384927512685902
,,,,,1,1,,32449434,101000,101011,100000,/ Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,209,0,14343602,,1,41146.5063352,,001000010011160,,,,,1183/1220/1,,,,1440,149,,,,,001000010000575,,,001022008,,{36F0B8AA-02BE-4BEC-9EA8-7DB618DDB807},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-01-24T08:22:40 \\ FACADES_SINGE 2023-04-08T06:15:51,004001,004001017,10014250,,193,,,,0,,1,,,,,,,,,,0,0,,,113751646002,1137516460020001,,,,,3.671738419445e-06,0.0076948522422218306
,,,,,,1,,32449476,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14418236,,2,440.1096859,,001000010001874,,,,,105/2,,,,1417,907,2,,,,001000010000597,,,001022008,,{EE650B03-1DE2-48D1-8855-D7F3922686BE},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-10-28T06:48:39 \\ FACADES_SINGE 2023-04-08T06:04:43,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113757465692,1137574656920001,,,,,3.9273753988e-08,0.0007958492342773101
,,,,,,1,,32449477,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14418238,,2,659.98427422,,001000010010958,,,,,105/3,,,,1417,907,2,,,,001000010000598,,,001022008,,{E3E13725-0822-4DF5-8E58-0B10E0352258},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-10-28T06:48:39 \\ FACADES_SINGE 2023-04-08T06:04:43,004001,004001017,10014250,,193,,,,2,,1,,,,,,,,,,2,0,,,113757525680,1137575256800001,,,,,5.8898409839e-08,0.0009795299918441312
,,,,,,1,,32449507,101000,101011,100000,AMANA / Parcel,,1657695512000,SDE,1657695512000,SDE,001,,001001,00100,00100100,00100001,00100001063,,1324/ب,0,14418235,,2,750.00343262,,001000010001874,,,,,103,,,,1417,907,,,,,001000010000638,,,001022008,,{FD6CB98D-DADB-491C-A640-3B616EC09CDC},,,,,,أمانة منطقة الرياض FME,AYMAN_HELMY 2019-10-28T06:49:47 \\ FACADES_SINGE 2023-04-08T06:04:40,004001,004001017,10014250,,193,,,,,,1,,,,,,,,,,,,,,113757445704,1137574457040001,,,,,6.691486052699999e-08,0.00104330338060617
