lat,lon,parcel_type
24.733786,46.642692,villa
24.730076,46.641313,villa
24.730293,46.643167,villa
24.729206,46.642048,other
24.731248,46.647126,villa
24.732084,46.641957,other
24.730252,46.642848,villa
24.735972,46.642188,villa
24.734252,46.643972,other
24.736203,46.643685,other
24.73251,46.647389,villa
24.736442,46.645044,villa
24.730122,46.64656,villa
24.729886,46.646329,villa
24.729954,46.646764,villa
24.729275,46.647587,villa
24.728298,46.64561,villa
24.728139,46.644983,villa
24.733901,46.642963,villa
24.728678,46.645146,villa
24.735611,46.645216,villa
24.735994,46.64609,villa
24.735655,46.644623,villa
24.731962,46.645868,other
24.732074,46.646133,villa
24.736213,46.644513,villa
24.732775,46.640635,villa
24.727352,46.647359,villa
24.733277,46.641134,villa
24.730449,46.642609,villa
24.73433,46.644645,other
24.730946,46.647922,villa
24.734084,46.644771,other
24.732366,46.645648,other
24.729379,46.646943,villa
24.734196,46.645042,villa
24.730919,46.647273,villa
24.731852,46.647912,other
24.73107,46.646163,villa
24.727735,46.644956,villa
24.727988,46.643116,other
24.735175,46.643494,other
24.731665,46.647469,other
24.729616,46.647174,villa
24.728914,46.645377,villa
24.7328,46.640922,villa
24.730904,46.644178,villa
24.729353,46.646174,villa
24.730717,46.647381,villa
24.733231,46.640399,villa
24.729014,46.646584,villa
24.729038,46.647356,villa
24.729776,46.645653,villa
24.732992,46.64402,villa
24.728112,46.643628,villa
24.733053,46.64178,villa
24.7327,46.641836,other
24.732456,46.642762,villa
24.730658,46.643682,other
24.731703,46.645994,other
24.729184,46.646377,villa
24.730846,46.645535,other
24.735845,46.641898,villa
24.734654,46.640874,villa
24.731462,46.64171,villa
24.729452,46.643373,villa
24.733102,46.641898,villa
24.734359,46.643588,villa
24.734042,46.643752,villa
24.729966,46.642169,villa
24.728697,46.646973,villa
24.729845,46.642687,other
24.733436,46.646064,villa
24.731129,46.644685,villa
24.732471,46.644897,other
24.729552,46.644599,villa
24.732588,46.640737,villa
24.727326,46.644513,villa
24.728069,46.64641,villa
24.730147,46.645205,villa
24.729823,46.641069,other
24.727143,46.644736,villa
24.729784,46.642392,villa
24.732968,46.645667,villa
24.732366,46.644653,villa
24.730191,46.640882,villa
24.735869,46.641257,villa
24.735772,46.641034,villa
24.735694,46.640855,villa
24.727971,46.645187,villa
24.731338,46.645176,villa
24.730561,46.645514,villa
24.729913,46.641512,villa
24.733708,46.644256,other
24.727394,46.645374,villa
24.732795,46.647579,villa
24.732459,46.647745,other
24.736529,46.639905,villa
24.735877,46.645822,villa
24.732885,46.64377,villa
24.732179,46.642118,villa
24.732293,46.64233,villa
24.731168,46.646423,villa
24.734381,46.642314,villa
24.733942,46.646088,villa
24.731163,46.64141,villa
24.727935,46.643845,villa
24.73079,46.643934,villa
24.735258,46.644406,villa
24.733891,46.644159,other
24.733613,46.641045,villa
24.72707,46.647874,villa
24.733487,46.641112,villa
24.729711,46.642483,villa
24.731019,46.644433,villa
24.731233,46.644929,villa
24.729343,46.641651,other
24.734927,46.643625,other
24.731267,46.641075,villa
24.7324,46.641415,other
24.734025,46.640812,other
24.728383,46.645508,villa
24.731348,46.647364,villa
24.731443,46.647584,villa
24.733665,46.640635,villa
24.731626,46.645028,villa
24.73278,46.643521,villa
24.736583,46.641976,other
24.735302,46.641359,other
24.736011,46.641584,villa
24.736369,46.640313,villa
24.731535,46.647802,villa
24.734259,46.6431,villa
24.733842,46.644897,other
24.730939,46.641692,other
24.731665,46.641469,villa
24.729316,46.645699,villa
24.729655,46.643961,villa
24.732152,46.644151,villa
24.732673,46.640533,villa
24.728169,46.645769,villa
24.732678,46.647303,villa
24.730861,46.641112,villa
24.732805,46.644393,villa
24.72966,46.641268,other
24.731521,46.644779,villa
24.730327,46.646184,villa
24.727832,46.646179,villa
24.732303,46.643223,villa
24.728317,46.643432,villa
24.736252,46.640047,villa
24.731828,46.643398,villa
24.732045,46.643902,villa
24.731416,46.644532,villa
24.730054,46.642429,villa
24.731569,46.647249,other
24.728607,46.645752,villa
24.730174,46.64598,villa
24.732249,46.6431,villa
24.735063,46.643223,villa
24.7281,46.644508,villa
24.732386,46.643414,villa
24.731733,46.645275,other
24.732568,46.645543,other
24.732478,46.645916,villa
24.732732,46.645463,other
24.730673,46.645275,other
24.732926,46.640769,villa
24.73318,46.642081,villa
24.729618,46.645329,villa
24.735316,46.64454,villa
24.735886,46.645157,villa
24.733874,46.647684,other
24.729029,46.643373,villa
24.729723,46.644393,villa
24.733029,46.640203,villa
24.73452,46.643505,villa
24.729467,46.645514,villa
24.729786,46.646968,villa
24.733465,46.642974,villa
24.724482,46.646158,villa
24.721391,46.647024,other
24.72162,46.64756,other
24.723678,46.647488,other
24.72648,46.647794,villa
24.726373,46.647847,villa
24.722334,46.647244,villa
24.722775,46.647343,villa
24.72266,46.647075,villa
24.722338,46.647568,villa
24.722597,46.647434,villa
24.722487,46.647493,villa
24.725542,46.645401,villa
24.723206,46.646919,other
24.723603,46.646718,other
24.724197,46.645761,villa
24.725255,46.647839,villa
24.725618,46.646791,villa
24.722148,46.646801,villa
24.726434,46.647244,villa
24.723113,46.646313,villa
24.724037,46.646326,villa
24.725691,46.645535,villa
24.724478,46.645618,villa
24.723013,46.646364,villa
24.72628,46.647322,villa
24.724495,46.646477,villa
24.726073,46.647424,villa
24.725961,46.647155,villa
24.722862,46.646439,villa
24.724283,46.646259,villa
24.722848,46.64612,other
24.724901,46.64627,villa
24.723259,46.645911,other
24.725854,46.645211,villa
24.726095,46.646487,villa
24.726034,46.645634,villa
24.723678,46.645699,other
24.725939,46.645412,villa
24.726129,46.645857,villa
24.724711,46.647786,villa
24.726237,46.647917,villa
24.725204,46.647,villa
24.725506,46.64652,villa
24.725927,46.646093,villa
24.722443,46.646326,other
24.724916,46.647684,villa
24.725413,46.644889,other
24.725664,46.64476,other
24.725869,46.647528,villa
24.724473,46.64737,villa
24.726344,46.646361,villa
24.724799,46.647204,villa
24.724687,46.646935,villa
24.724083,46.645492,other
24.724894,46.645079,other
24.722558,46.646595,villa
24.726222,46.646077,villa
24.725313,46.646064,villa
24.725786,46.645758,villa
24.725011,46.645347,villa
24.725201,46.645793,villa
24.722034,46.646536,other
24.722967,46.647796,villa
24.724682,46.645514,villa
24.725571,46.645221,villa
24.725091,46.646731,villa
24.726536,46.64719,villa
24.725459,46.647735,villa
24.725664,46.64763,villa
24.726166,46.647051,villa
24.724485,46.645286,other
24.724361,46.647102,villa
24.723793,46.645967,villa
24.72555,46.647362,villa
24.725779,46.645031,villa
24.726276,46.64447,other
24.72323,46.646254,villa
24.724787,46.646002,villa
24.723442,46.646144,villa
24.724507,46.64789,villa
24.726371,46.646949,villa
24.724151,46.646595,villa
24.725757,46.64726,villa
24.725243,46.647517,villa
24.741655,46.649808,other
24.738931,46.653834,villa
24.738715,46.65367,villa
24.738836,46.653609,villa
24.739477,46.650004,villa
24.738878,46.650009,villa
24.739041,46.649926,villa
24.739204,46.649843,villa
24.738681,46.650108,villa
24.738785,46.650355,villa
24.739309,46.65009,villa
24.738983,46.650256,villa
24.739146,46.650173,villa
24.739511,46.649685,villa
24.739721,46.649878,villa
24.739616,46.649931,villa
24.739616,46.649631,villa
24.739372,46.649757,villa
24.737214,46.657865,villa
24.736895,46.657278,villa
24.737124,46.657656,villa
24.737036,46.65745,villa
24.738644,46.654902,villa
24.738783,46.654478,villa
24.73891,46.654767,villa
24.741002,46.650656,villa
24.74279,46.652455,other
24.742912,46.652748,other
