latitude,longitude,name,category
24.493454,46.726234,Apartment,Apartments
24.492985,46.734161,Apartment,Apartments
24.492902,46.733929,Apartment,Apartments
24.494001,46.726257,Apartment,Apartments
24.494194,46.724733,Apartment,Apartments
24.485273,46.727661,Apartment,Apartments
24.48266,46.719705,Apartment,Apartments
24.482947,46.721182,Apartment,Apartments
24.483169,46.720223,Apartment,Apartments
24.484307,46.722796,Apartment,Apartments
24.485019,46.723212,Apartment,Apartments
24.48554,46.722435,Apartment,Apartments
24.492645,46.713403,Apartment,Apartments
24.49274,46.71643,Apartment,Apartments
24.491565,46.713371,Apartment,Apartments
24.491388,46.71644,Apartment,Apartments
24.49088,46.71225,Apartment,Apartments
24.490818,46.716897,Apartment,Apartments
24.490049,46.721459,Apartment,Apartments
24.491108,46.712423,Apartment,Apartments
24.489861,46.713634,Apartment,Apartments
24.483217,46.721507,Apartment,Apartments
24.483291,46.717493,Apartment,Apartments
24.484277,46.723654,Apartment,Apartments
24.491686,46.73673,Apartment,Apartments
24.493052,46.718578,Apartment,Apartments
24.493042,46.716939,Apartment,Apartments
24.492958,46.723296,Apartment,Apartments
24.493688,46.73612,Apartment,Apartments
24.492211,46.71184,Apartment,Apartments
24.492192,46.718257,Apartment,Apartments
24.492127,46.721094,Apartment,Apartments
24.492742,46.714411,Apartment,Apartments
24.481734,46.71864,Apartment,Apartments
24.481693,46.723322,Apartment,Apartments
24.481712,46.724956,Apartment,Apartments
24.482258,46.718839,Apartment,Apartments
24.482225,46.720372,Apartment,Apartments
24.484397,46.720998,Apartment,Apartments
24.484429,46.717175,Apartment,Apartments
24.48435,46.724054,Apartment,Apartments
24.485668,46.719954,Apartment,Apartments
24.484874,46.725674,Apartment,Apartments
24.484819,46.733916,Apartment,Apartments
24.491578,46.711193,Apartment,Apartments
24.491505,46.719272,Apartment,Apartments
24.491548,46.715651,Apartment,Apartments
24.490193,46.732567,Apartment,Apartments
24.48392,46.719756,Apartment,Apartments
24.485187,46.718614,Apartment,Apartments
24.484362,46.721278,Apartment,Apartments
24.489181,46.729745,Apartment,Apartments
24.489376,46.712664,Apartment,Apartments
24.491883,46.731087,Apartment,Apartments
24.494333,46.728079,Apartment,Apartments
24.490404,46.713852,Apartment,Apartments
24.488949,46.722842,Apartment,Apartments
24.488979,46.721647,Apartment,Apartments
24.493084,46.717211,Apartment,Apartments
24.493695,46.724964,Apartment,Apartments
24.491858,46.714101,Apartment,Apartments
24.494436,46.725368,Apartment,Apartments
24.494416,46.727038,Apartment,Apartments
24.483187,46.73082,Apartment,Apartments
24.483347,46.716673,Apartment,Apartments
24.483485,46.718546,Apartment,Apartments
24.483639,46.727993,Apartment,Apartments
24.483648,46.732039,Apartment,Apartments
24.49135,46.718066,Apartment,Apartments
25.090603,46.395537,Apartment,Apartments
25.089697,46.396572,Apartment,Apartments
25.094191,46.402328,Apartment,Apartments
25.095332,46.40125,Apartment,Apartments
25.093507,46.401846,Apartment,Apartments
25.090039,46.396813,Apartment,Apartments
25.092867,46.400667,Apartment,Apartments
25.094228,46.396634,Apartment,Apartments
25.094918,46.401665,Apartment,Apartments
25.092257,46.399298,Apartment,Apartments
25.090778,46.399195,Apartment,Apartments
25.088603,46.398685,Apartment,Apartments
25.094792,46.397328,Apartment,Apartments
25.095254,46.400229,Apartment,Apartments
25.096025,46.400065,Apartment,Apartments
25.092358,46.397033,Apartment,Apartments
25.091426,46.394956,Apartment,Apartments
25.091658,46.39654,Apartment,Apartments
25.092875,46.396432,Apartment,Apartments
25.091241,46.395539,Apartment,Apartments
25.089485,46.398543,Apartment,Apartments
25.09014,46.398038,Apartment,Apartments
25.092798,46.401346,Apartment,Apartments
25.090534,46.394763,Apartment,Apartments
25.096274,46.401671,Apartment,Apartments
25.093231,46.399769,Apartment,Apartments
25.091613,46.397215,Apartment,Apartments
25.09137,46.398457,Apartment,Apartments
25.094342,46.400999,Apartment,Apartments
25.093371,46.397392,Apartment,Apartments
25.09306,46.395832,Apartment,Apartments
25.095401,46.399187,Apartment,Apartments
25.092175,46.395919,Apartment,Apartments
25.092769,46.398422,Apartment,Apartments
25.089098,46.397563,Apartment,Apartments
25.093057,46.400353,Apartment,Apartments
25.091992,46.399323,Apartment,Apartments
25.091878,46.400993,Apartment,Apartments
25.093589,46.398607,Apartment,Apartments
25.095082,46.402228,Apartment,Apartments
25.095057,46.397935,Apartment,Apartments
25.089829,46.395968,Apartment,Apartments
25.094744,46.403025,Apartment,Apartments
25.096521,46.399989,Apartment,Apartments
25.089059,46.399006,Apartment,Apartments
25.094044,46.398928,Apartment,Apartments
25.090693,46.400157,Apartment,Apartments
25.090003,46.397942,Apartment,Apartments
25.093059,46.396107,Apartment,Apartments
25.093849,46.402087,Apartment,Apartments
25.088909,46.397877,Apartment,Apartments
25.094861,46.399515,Apartment,Apartments
25.095324,46.398739,Apartment,Apartments
25.091992,46.401073,Apartment,Apartments
25.08775,46.393287,Apartment,Apartments
25.087393,46.396325,Apartment,Apartments
25.089813,46.392637,Apartment,Apartments
25.088307,46.393663,Apartment,Apartments
25.089149,46.390891,Apartment,Apartments
25.087837,46.395527,Apartment,Apartments
25.088326,46.395197,Apartment,Apartments
25.088552,46.392409,Apartment,Apartments
25.08616,46.396049,Apartment,Apartments
25.090162,46.391901,Apartment,Apartments
25.087127,46.394354,Apartment,Apartments
25.086848,46.394835,Apartment,Apartments
25.089007,46.391629,Apartment,Apartments
25.089479,46.393209,Apartment,Apartments
25.085943,46.396873,Apartment,Apartments
25.086282,46.395841,Apartment,Apartments
25.086741,46.397435,Apartment,Apartments
25.087191,46.397077,Apartment,Apartments
25.088886,46.391838,Apartment,Apartments
25.090071,46.392216,Apartment,Apartments
25.088922,46.394111,Apartment,Apartments
24.553986,46.519654,Apartment,Apartments
24.549128,46.567294,Apartment,Apartments
24.549696,46.526318,Apartment,Apartments
24.550138,46.526363,Apartment,Apartments
24.551023,46.526451,Apartment,Apartments
24.5541,46.519664,Apartment,Apartments
24.551681,46.552641,Apartment,Apartments
24.548135,46.565404,Apartment,Apartments
24.551647,46.524136,Apartment,Apartments
24.551218,46.49798,Apartment,Apartments
24.552311,46.519447,Apartment,Apartments
24.551669,46.523945,Apartment,Apartments
24.549149,46.523692,Apartment,Apartments
24.551076,46.498019,Apartment,Apartments
24.556559,46.562519,Apartment,Apartments
24.578887,46.545996,Apartment,Apartments
24.543284,46.516687,Apartment,Apartments
24.550536,46.496794,Apartment,Apartments
24.555328,46.574892,Apartment,Apartments
24.554917,46.574854,Apartment,Apartments
24.551566,46.569064,Apartment,Apartments
24.577253,46.527778,Apartment,Apartments
24.556444,46.548941,Apartment,Apartments
24.557141,46.549903,Apartment,Apartments
24.556759,46.560234,Apartment,Apartments
24.550998,46.497156,Apartment,Apartments
24.578278,46.554164,Apartment,Apartments
24.548918,46.526373,Apartment,Apartments
24.550958,46.525999,Apartment,Apartments
24.55411,46.518606,Apartment,Apartments
24.553571,46.518849,Apartment,Apartments
24.553498,46.567606,Apartment,Apartments
24.575791,46.55117,Apartment,Apartments
24.554606,46.552991,Apartment,Apartments
24.553433,46.520262,Apartment,Apartments
24.549889,46.525594,Apartment,Apartments
24.590548,46.552475,Apartment,Apartments
24.550628,46.523454,Apartment,Apartments
24.555732,46.550402,Apartment,Apartments
24.560583,46.573804,Apartment,Apartments
24.575781,46.550845,Apartment,Apartments
24.555865,46.559537,Apartment,Apartments
24.558219,46.568567,Apartment,Apartments
24.550077,46.553106,Apartment,Apartments
24.554562,46.553135,Apartment,Apartments
24.555061,46.563029,Apartment,Apartments
24.54898,46.525636,Apartment,Apartments
24.556038,46.575207,Apartment,Apartments
24.578571,46.549981,Apartment,Apartments
24.548903,46.560408,Apartment,Apartments
24.551847,46.527707,Apartment,Apartments
24.554757,46.563447,Apartment,Apartments
24.557152,46.576446,Apartment,Apartments
24.556971,46.556974,Apartment,Apartments
24.588523,46.563136,Apartment,Apartments
24.552482,46.561581,Apartment,Apartments
24.548548,46.514976,Apartment,Apartments
24.551891,46.490436,Apartment,Apartments
24.551704,46.489986,Apartment,Apartments
24.548891,46.518717,Apartment,Apartments
24.549206,46.518748,Apartment,Apartments
24.591806,46.553989,Apartment,Apartments
24.554,46.52125,Apartment,Apartments
24.553482,46.521021,Apartment,Apartments
24.554213,46.502971,Apartment,Apartments
24.547136,46.51248,Apartment,Apartments
24.548097,46.564137,Apartment,Apartments
24.553663,46.503593,Apartment,Apartments
24.551475,46.520983,Apartment,Apartments
24.554129,46.565115,Apartment,Apartments
24.552112,46.560507,Apartment,Apartments
24.551852,46.544671,Apartment,Apartments
24.553994,46.565103,Apartment,Apartments
24.554105,46.503047,Apartment,Apartments
24.553465,46.548962,Apartment,Apartments
24.54613,46.532323,Apartment,Apartments
24.552673,46.549772,Apartment,Apartments
24.5504,46.530537,Apartment,Apartments
24.553053,46.524914,Apartment,Apartments
24.552604,46.525133,Apartment,Apartments
24.548464,46.576098,Apartment,Apartments
24.547998,46.577779,Apartment,Apartments
24.550487,46.511528,Apartment,Apartments
24.550076,46.493474,Apartment,Apartments
24.549792,46.493624,Apartment,Apartments
24.548132,46.522604,Apartment,Apartments
24.549756,46.571944,Apartment,Apartments
24.546255,46.518204,Apartment,Apartments
24.547784,46.527218,Apartment,Apartments
24.552192,46.528177,Apartment,Apartments
24.550434,46.532756,Apartment,Apartments
24.544753,46.505608,Apartment,Apartments
24.547754,46.524197,Apartment,Apartments
24.546801,46.500815,Apartment,Apartments
24.551068,46.525211,Apartment,Apartments
24.547809,46.50006,Apartment,Apartments
24.546865,46.501093,Apartment,Apartments
24.545753,46.522764,Apartment,Apartments
24.554977,46.55197,Apartment,Apartments
24.542256,46.517763,Apartment,Apartments
24.555927,46.561329,Apartment,Apartments
24.551751,46.545103,Apartment,Apartments
24.59013,46.571207,Apartment,Apartments
24.590013,46.56435,Apartment,Apartments
24.585982,46.570489,Apartment,Apartments
24.586143,46.565569,Apartment,Apartments
24.587188,46.543627,Apartment,Apartments
24.587123,46.548109,Apartment,Apartments
24.589992,46.568371,Apartment,Apartments
24.589666,46.56394,Apartment,Apartments
24.58338,46.532699,Apartment,Apartments
24.583472,46.530815,Apartment,Apartments
24.55402,46.567117,Apartment,Apartments
24.550144,46.555044,Apartment,Apartments
24.549446,46.557848,Apartment,Apartments
24.55393,46.561141,Apartment,Apartments
24.55773,46.560572,Apartment,Apartments
24.549347,46.565541,Apartment,Apartments
24.548056,46.575749,Apartment,Apartments
24.555367,46.554884,Apartment,Apartments
24.551221,46.577811,Apartment,Apartments
24.550069,46.546082,Apartment,Apartments
24.548851,46.577066,Apartment,Apartments
24.548555,46.574918,Apartment,Apartments
24.55034,46.498496,Apartment,Apartments
24.543891,46.510491,Apartment,Apartments
24.543775,46.511625,Apartment,Apartments
24.546322,46.508873,Apartment,Apartments
24.553519,46.497188,Apartment,Apartments
