Name,Type,Subtype,Latitude,Longitude,Arabic Name,Address,Phone,Website,Hours,Brand
Unnamed,leisure,pitch,24.5613488,46.6954703,,,,,,
Unnamed,leisure,park,24.5686106,46.6992497,,,,,,
Unnamed,leisure,pitch,24.5714095,46.716867,,,,,,
Unnamed,leisure,pitch,24.8503281,46.6322858,,,,,,
Unnamed,leisure,swimming_pool,24.8104843,46.6897709,,,,,,
Unnamed,leisure,pitch,24.8047968,46.6895992,,,,,,
Unnamed,leisure,pitch,24.7928757,46.6601164,,,,,,
Unnamed,leisure,pitch,24.8092973,46.6904114,,,,,,
Unnamed,leisure,swimming_pool,24.8040478,46.6900575,,,,,,
Unnamed,leisure,pitch,24.788924,46.6938417,,,,,,
Unnamed,leisure,pitch,24.7892669,46.6936172,,,,,,
Unnamed,leisure,swimming_pool,24.8560448,46.783622,,,,,,
Unnamed,leisure,playground,24.8037416,46.8082904,,,,,,
Unnamed,leisure,pitch,24.8019221,46.8611287,,,,,,
Unnamed,leisure,pitch,24.9496354,46.791036,,,,,,
Unnamed,leisure,swimming_pool,24.9490845,46.7894377,,,,,,
Unnamed,leisure,swimming_pool,24.950869,46.7885263,,,,,,
Unnamed,leisure,swimming_pool,24.9515636,46.7897151,,,,,,
Unnamed,leisure,swimming_pool,24.9521983,46.7910624,,,,,,
Unnamed,leisure,swimming_pool,24.9528929,46.7924361,,,,,,
Unnamed,leisure,swimming_pool,24.9532522,46.7936777,,,,,,
Unnamed,leisure,swimming_pool,24.9536953,46.7930041,,,,,,
Unnamed,leisure,swimming_pool,24.9506175,46.7866903,,,,,,
Unnamed,leisure,swimming_pool,24.950845,46.7870734,,,,,,
Unnamed,leisure,swimming_pool,24.9502462,46.7869809,,,,,,
Unnamed,leisure,swimming_pool,24.9485336,46.7880508,,,,,,
Unnamed,leisure,swimming_pool,24.947336,46.7898604,,,,,,
Unnamed,leisure,swimming_pool,24.9482342,46.7918021,,,,,,
Unnamed,leisure,swimming_pool,24.9462222,46.7906661,,,,,,
Unnamed,leisure,swimming_pool,24.9473719,46.7929645,,,,,,
Unnamed,leisure,swimming_pool,24.9482462,46.7951175,,,,,,
Unnamed,leisure,pitch,24.9500666,46.7965044,,,,,,
Unnamed,leisure,swimming_pool,24.7990301,46.8131268,,,,,,
Unnamed,leisure,pitch,24.7636264,46.8598392,,,,,,
Unnamed,leisure,pitch,24.6570132,46.8959053,,,,,,
Unnamed,leisure,pitch,24.5237295,46.9529109,,,,,,
Unnamed,leisure,pitch,24.5250135,46.9520914,,,,,,
Unnamed,leisure,pitch,24.5262257,46.9511277,,,,,,
Unnamed,leisure,pitch,24.5286322,46.9490266,,,,,,
Unnamed,leisure,pitch,24.5275794,46.9499725,,,,,,
Unnamed,leisure,pitch,24.5297689,46.9480729,,,,,,
Unnamed,leisure,pitch,24.531034,46.9472604,,,,,,
Unnamed,leisure,pitch,24.5307304,46.9492618,,,,,,
Unnamed,leisure,pitch,24.529781,46.9505749,,,,,,
Unnamed,leisure,pitch,24.5285432,46.9516607,,,,,,
Unnamed,leisure,pitch,24.5273897,46.9538057,,,,,,
Unnamed,leisure,pitch,24.5264383,46.9547464,,,,,,
Unnamed,leisure,pitch,24.5329414,46.944969,,,,,,
Unnamed,leisure,pitch,24.5338186,46.9458642,,,,,,
Unnamed,leisure,pitch,24.5321946,46.9460014,,,,,,
Unnamed,leisure,pitch,24.5328629,46.9471364,,,,,,
Unnamed,leisure,pitch,24.5318976,46.9482792,,,,,,
Unnamed,leisure,swimming_pool,24.6775973,46.6193267,,,,,,
Unnamed,leisure,swimming_pool,24.6764949,46.6199733,,,,,,
Unnamed,leisure,swimming_pool,24.6765345,46.6184257,,,,,,
Unnamed,leisure,swimming_pool,24.6732468,46.6214205,,,,,,
Unnamed,leisure,swimming_pool,24.6728734,46.618893,,,,,,
Unnamed,leisure,pitch,24.6599007,46.6171466,,,,,,
Unnamed,leisure,swimming_pool,24.6790059,46.6211145,,,,,,
Unnamed,leisure,swimming_pool,24.6817054,46.6129146,,,,,,
Unnamed,leisure,pitch,24.6762492,46.6103276,,,,,,
Unnamed,leisure,swimming_pool,24.6365189,46.6696581,,,,,,
Unnamed,leisure,pitch,24.6832065,46.6200879,,,,,,
Unnamed,leisure,swimming_pool,24.6897421,46.609801,,,,,,
Unnamed,leisure,swimming_pool,24.6804303,46.6046432,,,,,,
Unnamed,leisure,pitch,24.6988068,46.647279,,,,,,
Unnamed,leisure,pitch,24.7015663,46.6272809,,,,,,
Unnamed,leisure,pitch,24.6943687,46.6396356,,,,,,
Unnamed,leisure,pitch,24.6948167,46.6392259,,,,,,
Unnamed,leisure,pitch,24.6949614,46.6394535,,,,,,
Unnamed,leisure,pitch,24.7047555,46.6432543,,,,,,
Unnamed,leisure,swimming_pool,24.6895304,46.6258613,,,,,,
Unnamed,leisure,swimming_pool,24.6946496,46.6234837,,,,,,
Unnamed,leisure,swimming_pool,24.6832288,46.6278696,,,,,,
Unnamed,leisure,swimming_pool,24.6776092,46.6272416,,,,,,
Unnamed,leisure,swimming_pool,24.6887788,46.6292696,,,,,,
Unnamed,leisure,swimming_pool,24.6807705,46.6142928,,,,,,
Unnamed,leisure,swimming_pool,24.683527,46.6143089,,,,,,
