Unnamed: 0.1,Unnamed: 0,location,clientindex,region_code,typeofplace,speedallowed,constantdevice,constantplace,geolatitude,geolongitude,geoformat,city_name_arabic,city_name_english,nic_code,Streat_Name_Arabic,Streat_Name_English,Direction,Province_arabic,Province_english,address09,Bus_Speed,Car_Speed,Truck_Speed,address13,address14,address15,ingestion_date,number_of_lanes
63,59988,RUHSM062,CL01,R1,CCTV,,,,24.79788333333333,46.56941666666667,,الرياض,Riyadh,1,طريق الملك سلمان,King Salman Road ,W,طريق الملك سلمان,King Salman Road ,,,,,,,80062.0,2025-02-12 11:47:27,3.0
64,59990,RUHSM111,CL01,R1,CCTV,,,,24.84065,46.55376666666667,,الرياض,Riyadh,1,طريق صلبوخ ,Salbukh Rd,N,طريق صلبوخ ,Salbukh Rd,,,,,,,80111.0,2025-01-27 11:20:45,3.0
65,59991,RUHSM112,CL01,R1,CCTV,,,,24.5972,46.60825,,الرياض,Riyadh,1,شارع الإمام أبي حنيفة,Al Imam Abi Hanifah,W,شارع الإمام أبي حنيفة,Al Imam Abi Hanifah,,,,,,,80112.0,2025-01-27 11:20:42,3.0
66,59992,RUHSM116,CL01,R1,CCTV,,,,24.90748333333333,46.92113333333333,,الرياض,Riyadh,1,طريق الدمام,Dammam Rd,W,طريق الدمام,Dammam Rd,,,,,,,80116.0,2025-02-12 11:47:27,4.0
67,59994,RUHSM140,CL01,R1,CCTV,,,,24.87698333333333,46.8059,,الرياض,Riyadh,1,طريق الثمامة,Ath Thumamah Rd,S,طريق الثمامة,Ath Thumamah Rd,,,,,,,80140.0,2024-12-08 14:06:29,3.0
68,59995,RUHSM147,CL01,R1,CCTV,,,,24.60365,46.6192,,الرياض,Riyadh,1,"طريق الإمام أبي حنيفة, العريجاء الأوسط",Al Imam Abi Hanifah Road,E,"طريق الإمام أبي حنيفة, العريجاء الأوسط",Al Imam Abi Hanifah Road,,,,,,,80147.0,2025-02-12 11:47:27,4.0
69,59996,RUHSM152,CL01,R1,CCTV,,,,24.685783333333333,46.65213333333333,,الرياض,Riyadh,1,طريق ام الحمام,Umm Al Hamam Rd,S,طريق ام الحمام,Umm Al Hamam Rd,,,,,,,80152.0,2025-01-27 11:20:43,4.0
70,59998,RUHSM160,CL01,R1,CCTV,,,,24.6086,46.77276666666667,,الرياض,Riyadh,1,طريق الخرج,Al kharj Rd,N,طريق الخرج,Al kharj Rd,,,,,,,80160.0,2024-12-08 14:06:29,5.0
71,59999,RUHSM170,CL01,R1,CCTV,,,,24.59786666666667,46.61736666666667,,الرياض,Riyadh,1,طريق حمزة بن عبدالمطلب,Hamzah Ibn Abdul Muttalib Rd,S,طريق حمزة بن عبدالمطلب,Hamzah Ibn Abdul Muttalib Rd,,,,,,,80170.0,2025-01-27 11:20:46,4.0
72,60001,RUHSM191,CL01,R1,CCTV,,,,24.812933333333334,46.676033333333336,,الرياض,Riyadh,1,شارع الثمامة الندى,Ath Thumamah Rd,S,شارع الثمامة الندى,Ath Thumamah Rd,,,,,,,80191.0,2024-12-08 14:06:28,4.0
73,60002,RUHSM201,CL01,R1,CCTV,,,,24.615266666666667,46.7573,,الرياض,Riyadh,1,طريق الخرج,Al Kharj Road,S,طريق الخرج,Al Kharj Road,,,,,,,80201.0,2025-01-27 11:20:43,4.0
74,60003,RUHSM209,CL01,R1,CCTV,,,,24.82345,46.72873333333333,,الرياض,Riyadh,1,طريق سعيد بن زيد,Said Ibn Zayd Road,S,طريق سعيد بن زيد,Said Ibn Zayd Road,,,,,,,80209.0,2025-02-12 11:47:27,3.0
75,60004,RUHSM210,CL01,R1,CCTV,,,,24.743166666666667,46.80018333333334,,الرياض,Riyadh,1,طريق عبدالرحمن الناصر,Abdulrahaman An Nasir,S,طريق عبدالرحمن الناصر,Abdulrahaman An Nasir,,,,,,,80210.0,2025-02-12 11:47:27,3.0
76,60005,RUHSM225,CL01,R1,CCTV,,,,24.74643333333333,46.82353333333333,,الرياض,Riyadh,1,طريق حسان بن ثابت,Hassan Ibn Thabit Road,S,طريق حسان بن ثابت,Hassan Ibn Thabit Road,,,,,,,80225.0,2024-12-08 14:06:28,3.0
77,60007,RUHSM238,CL01,R1,CCTV,,,,24.495066666666663,46.94385,,الرياض,Riyadh,1,طريق الخرج,Al Kharj Rd,S,طريق الخرج,Al Kharj Rd,,,,,,,80238.0,2024-12-08 14:06:29,3.0
78,60008,RUHSM241,CL01,R1,CCTV,,,,24.648816666666665,46.7142,,الرياض,Riyadh,1,الامير عبدالعزيز بن مساعد بن جلوي,Prince Abdulaziz Ibn Musaid Ibn Jalawi St,N,الامير عبدالعزيز بن مساعد بن جلوي,Prince Abdulaziz Ibn Musaid Ibn Jalawi St,,,,,,,80241.0,2024-12-08 14:06:27,4.0
79,60009,RUHSM244,CL01,R1,CCTV,,,,24.59263333333333,46.5813,,الرياض,Riyadh,1,طريق أسماء بنت أبي بكر,Asma Bint Abi Bakr,N,طريق أسماء بنت أبي بكر,Asma Bint Abi Bakr,,,,,,,80244.0,2024-12-08 14:06:28,4.0
80,60010,RUHSM262,CL01,R1,CCTV,,,,24.762016666666668,46.81105,,الرياض,Riyadh,1,طريق سلمان الفارسي,Salman Al Farsi,N,طريق سلمان الفارسي,Salman Al Farsi,,,,,,,80262.0,2024-12-08 14:06:27,3.0
81,60012,RUHSM276,CL01,R1,CCTV,,,,24.8343,46.790866666666666,,الرياض,Riyadh,1,شارع الشيخ جابر الأحمد الصباح,Ashaikh Jaber Alahmed Alsabah Rd,S,شارع الشيخ جابر الأحمد الصباح,Ashaikh Jaber Alahmed Alsabah Rd,,,,,,,80276.0,2024-12-08 14:06:30,3.0
82,60013,RUHSM280,CL01,R1,CCTV,,,,24.817916666666665,46.802733333333336,,الرياض,Riyadh,1,شارع الشيخ جابر الأحمد القادسيه,Sheikh Jaber Al-Ahmad Al-Sabah Street,N,شارع الشيخ جابر الأحمد القادسيه,Sheikh Jaber Al-Ahmad Al-Sabah Street,,,,,,,80280.0,2025-01-27 11:20:42,3.0
83,60014,RUHSM291,CL01,R1,CCTV,,,,24.61553333333333,46.7153,,الرياض,Riyadh,1,ال فريان,Al Farian,S,ال فريان,Al Farian,,,,,,,80291.0,2025-01-27 11:20:48,3.0
84,60017,RUHSM306,CL01,R1,CCTV,,,,24.70605,46.657516666666666,,الرياض,Riyadh,1,طريق العروبة,Al Urubah Rd,W,طريق العروبة,Al Urubah Rd,,,,,,,80306.0,2024-12-08 14:06:30,4.0
