trip_id,lat,lon,pickup_time,dropoff_time,distance_km,duration_sec,cost,car_model,car_cat,gender,gps_points,max_speed,avg_speed
1195899,,,2016-01-31 11:31:54,2016-01-31 12:04:45,25.03,0,,Camry,,female,338,152.9,40.4
1195890,,,2016-01-31 11:20:14,2016-01-31 11:26:22,0.0,0,,Taurus,,male,52,0.0,0.0
1195882,,,2016-01-31 11:30:32,2016-01-31 12:13:54,22.1,0,,prado,,female,639,325.8,20.7
1195884,,,2016-01-31 11:14:02,2016-01-31 11:40:51,12.56,0,,Camry,,female,334,134.0,27.1
1195880,,,2016-01-31 11:20:22,2016-01-31 11:53:58,23.34,0,,Innova,,female,364,120.9,36.2
1195879,,,2016-01-31 11:16:50,2016-01-31 11:28:32,7.56,0,,Tahoe,,female,119,76.7,39.0
1195870,,,2016-01-31 11:44:57,2016-01-31 12:30:47,23.07,0,,Fortuner ,,female,378,151.4,20.5
1195871,,,2016-01-31 11:42:47,2016-01-31 11:57:14,4.08,0,,Innova,,female,155,112.7,17.0
1195858,,,2016-01-31 10:32:55,2016-01-31 11:09:29,18.8,0,,Innova,,male,418,158.0,30.3
1195857,,,2016-01-31 10:34:38,2016-01-31 11:05:37,17.88,0,,Camry,,female,293,155.9,29.3
1195846,,,2016-01-31 10:46:38,2016-01-31 11:09:25,13.9,0,,Fortuner,,female,252,153.3,31.9
1195843,,,2016-01-31 10:11:07,2016-01-31 10:16:39,0.09,0,,Taurus,,male,86,106.5,4.8
1195840,,,2016-01-31 10:08:04,2016-01-31 10:24:19,9.63,0,,Innova,,female,214,143.6,34.0
1195835,,,2016-01-31 10:04:12,2016-01-31 10:25:20,16.15,0,,Expedition,,N/A,233,114.2,44.5
1195834,,,2016-01-31 10:07:53,2016-01-31 10:36:03,28.02,0,,Fortuner ,,female,338,144.4,53.7
1195833,,,2016-01-31 09:59:57,2016-01-31 10:47:38,10.98,0,,Innova,,female,551,116.8,13.4
1195828,,,2016-01-31 09:26:59,2016-01-31 09:28:08,0.0,0,,Taurus,,male,13,9.0,1.8
1195829,,,2016-01-31 09:53:06,2016-01-31 10:22:57,21.07,0,,Fortuner,,male,365,136.0,36.7
1195825,,,2016-01-31 09:20:38,2016-01-31 09:53:19,23.23,0,,Fortuner,,female,371,151.0,40.9
1195824,,,2016-01-31 11:01:05,2016-01-31 11:31:25,16.88,0,,Lexus,,female,342,1765092.4,10345.1
1195821,,,2016-01-31 09:35:32,2016-01-31 09:56:44,15.41,0,,Cadillac,,female,272,145.6,39.2
1195815,,,2016-01-31 09:07:56,2016-01-31 09:58:57,33.96,0,,camry,,female,588,132.5,39.6
1195808,,,2016-01-31 08:49:40,2016-01-31 10:04:39,47.81,0,,Taurus,,female,779,159.1,30.7
1195806,,,2016-01-31 08:35:13,2016-01-31 08:50:58,4.28,0,,Innova,,female,187,78.9,16.3
1195805,,,2016-01-31 08:41:07,2016-01-31 09:02:16,16.64,0,,Camry,,female,214,109.6,29.1
1195804,,,2016-01-31 08:32:18,2016-01-31 09:20:39,14.83,0,,Fortuner,,female,579,157.4,17.7
1195799,,,2016-01-31 08:28:51,2016-01-31 08:57:16,25.71,0,,Cadillac,,male,340,159.5,49.7
1195793a,,,2016-01-31 08:35:10,2016-01-31 09:00:29.354108,26.720636758447725,0,,GMC,,female,305,112.8,63.1
1195793b,,,2016-01-31 09:40:28.334278,2016-01-31 10:32:47,34.167884247235214,0,,GMC,,female,627,120.7,39.0
1195777a,,,2016-01-31 07:11:07,2016-01-31 08:19:08.687500,30.114135903430626,0,,Sportage (KIA),,female,503,122.6,26.6
1195777b,,,2016-01-31 10:02:26.220745,2016-01-31 10:29:01,20.358707306464602,0,,Sportage (KIA),,female,216,75.7,42.3
1195775,,,2016-01-31 06:59:02,2016-01-31 07:46:15,26.74,0,,Camry,,female,557,144.6,33.0
1195774,,,2016-01-31 07:04:10,2016-01-31 07:49:07,18.14,0,,Fortuner,,N/A,539,137.9,23.2
1195756,,,2016-01-31 06:08:27,2016-01-31 06:38:01,23.59,0,,Altima,,male,344,152.0,24.7
1195754,,,2016-01-31 06:14:32,2016-01-31 06:43:34,14.95,0,,Fortuner,,N/A,348,97.9,12.8
1195753,,,2016-01-31 06:13:38,2016-01-31 06:52:29,24.67,0,,Fortuner,,female,446,133.5,36.0
