object_id,parcel_id,parcel_name,mainlanduse_code,mainlanduse_name,subtype_code,subtype_name,detailslanduse,is_apartment,parcel_type,residential_units,commercial_units,floors,area_sqm,district_id,street_name,postal_code,is_built,is_licensed,building_status,latitude,longitude
32449286,14388737,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,274.99645184,00100001148,,,,,,24.833068226800016,46.63883603480001
32449287,14417967,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,357.87752719,00100001045,,,,,,24.759290574714278,46.693949281428566
32449288,14396791,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,321.97080642,00100001042,,,,,,24.771440614000007,46.6860896502
32449289,14417626,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),8,3,2,840.09469286,00100001054,,,,,,24.781989657600025,46.70652745879998
32449290,14419258,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,286.1361875,00100001097,,,,,,24.7895754484,46.695130584999994
32449291,14417705,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,609.04431795,00100001148,,,,,,24.82636636942857,46.638132019
32449292,14417714,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,609.08036887,00100001148,,,,,,24.82629529999999,46.63798345219999
32449293,14417715,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),0,0,,809.99217093,00100001148,,,,,,24.82634706540001,46.638814902
32449294,14417717,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,325.57589886,00100001148,,,,,,24.826117666000005,46.63756152700002
32449295,14417724,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,810.1003237,00100001148,,,,,,24.825575678200003,46.63627420140001
32449296,14417726,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,600.03158683,00100001148,,,,,,24.82577536519999,46.63674849219998
32449297,14417733,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),16,0,4,810.20847648,00100001148,,,,,,24.8254318526,46.6366410568
32449298,14417734,,1000000,سكني متعدد الوحدات (Multi-Unit Residential/Apartments),1001000,عمارة سكنية (Apartment Building),1001001,True,شقق (Apartment),,,,810.17242555,00100001148,,,,,,24.825329739999994,46.636398521600015
32449303,14418095,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,449.95158828,00100001029,,,,,,24.73623804225,46.7159665055
32449304,14418214,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,300.05184434,00100001115,,,,,,24.778005373666662,46.64593268950001
32449305,14418215,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,300.01579342,00100001115,,,,,,24.778107459399997,46.64590798300001
32449306,14418273,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,675.19776435,00100001145,,,,,,24.777199223000004,46.632146714
32449307,14418277,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,312.48941328,00100001145,,,,,,24.777071758199988,46.63184411799999
32449308,14388678,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,615.06482234,00100001181,,,,,,24.718577014800008,46.67476991759999
32449309,14388679,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),3,0,2,675.16171342,00100001181,,,,,,24.717398473000003,46.6753636992
32449310,14388723,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,535.10387187,00100001148,,,,,,24.833510608800008,46.639297197
32449311,14418307,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,263.27990138,00100001145,,,,,,24.79045717466667,46.62470933750001
32449312,14388687,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,600.03158683,00100001181,,,,,,24.718247319,46.674936028800005
32449313,14388730,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,264.10907265,00100001148,,,,,,24.833040767599993,46.63858629739999
32449314,14396916,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,370.89191092,00100001032,,,,,,24.74485995199999,46.66606244980001
32449315,14396921,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,370.85586,00100001032,,,,,,24.744950870599986,46.666277818000005
32449316,14396925,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,719.93696161,00100001032,,,,,,24.74412543399999,46.666434253399984
32449317,14396972,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,363.9340825,00100001033,,,,,,24.803753293400007,46.6658912782
32449318,14417608,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),0,0,,356.29128651,00100001108,,,,,,24.775162853600012,46.69830971520001
32449319,14417609,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,356.21918466,00100001108,,,,,,24.77532483,46.698103936799995
32449320,14417629,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),4,0,2,600.06763776,00100001054,,,,,,24.782156149000002,46.706827525999984
32449321,14417709,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,609.08036887,00100001148,,,,,,24.826203279666675,46.637812112666666
32449322,14417727,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,960.00006764,00100001148,,,,,,24.825363887200012,46.63577116699999
32449323,14417761,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,503.99192405,00100001148,,,,,,24.817468235111107,46.646365483777785
32449324,14448845,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),1,0,2,528.0739416,00100001037,,,,,,24.7532346816,46.7089141714
32449325,14418237,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,749.823178,00100001063,,,,,,24.72650935657143,46.65129490771428
32449326,14418283,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),2,0,2,312.48941328,00100001145,,,,,,24.776788079999996,46.631170686000004
32449327,14415774,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),3,0,2,449.9876392,00100001063,,,,,,24.735359806199995,46.6418871866
32449328,14415840,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,303.54878401,00100001037,,,,,,24.755200151399993,46.715080573199984
32449330,14459268,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,True,شقق (Apartment),3,0,2,365.98898519,00100001125,,,,,,24.787970136199988,46.675229731
32449331,14459276,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,325.50379702,00100001125,,,,,,24.78863417399999,46.6758662564
32449332,14459282,,100000,سكني (Residential),101000,سكني فردي (Single Residential/Villa),101011,False,غير شقق (Non-Apartment),,,,387.5113871,00100001125,,,,,,24.787915740400003,46.675097113599996
