name,lat,lon,address,category,types,rating
حياة كيف hayat kayf,24.4482462,46.9938851,"CXXV+7HR, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",3
مزاج مغربي mizaj maghribiun,24.4482079,46.99392479999999,"CXXV+7HM, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",5
جافا تايم Java Time,24.4486721,46.9946251,"Al Kharj Road, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",2.6
ديوانية الشيوخ للقهوة السعودية والشاي,24.4599347,46.9800485,Riyadh,Restaurants,"cafe,food,point_of_interest,store,establishment",3.5
Half Million,24.45995,46.980849,"Al Kharj Road, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",4.2
سكيل كافيه Scale cafe & bar,24.4601875,46.9807198,"8957 Al Kharj Road, RMFB4797، 4797, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",3.7
DAN CAFE,24.4602857,46.9805961,"Aldrees, طريق الخرج - حي, الرياض",Restaurants,"cafe,food,point_of_interest,establishment",4.3
MEZAJ,24.4603654,46.9805133,"Aldrees, Al Kharj Road, Riyadh",Restaurants,"cafe,food,point_of_interest,store,establishment",3.9
PRIMAN INTERNATIONAL,24.4407047,46.97922029999999,"CXRH+7MQ, Riyadh",Restaurants,"bakery,store,food,point_of_interest,establishment",3.8
مستودعات شركة الأنسون التجارية,24.45428,46.9806169,"4801, Riyadh",Electronics,"electronics_store,store,point_of_interest,establishment",3.7
Prima international,24.4191875,46.9814375,Riyadh,Restaurants,"bakery,store,food,point_of_interest,establishment",4.5
Jalal mini super market,24.44181249999999,46.9794375,Riyadh,Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",4.3
بقالة جلال,24.4416726,46.980026,"6899 Ishaq Bin Hilal Alley, 4784, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",
بقالة عرفان,24.4393368,46.9789888,"Unnamed Road, CXQH+PHQ, Riyadh",Restaurants,"grocery_or_supermarket,store,food,point_of_interest,establishment",3.8
بقالة ناصر,24.4402439,46.97698199999999,"4465 شارع عبدالعزيز العنابي, Riyadh",Restaurants,"supermarket,grocery_or_supermarket,store,food,point_of_interest,establishment",5
Spout,24.43914149999999,46.97812099999999,"RMFB6617، 6617 جبل عريض، 4575, Riyadh",Other Stores,"store,point_of_interest,establishment",
مصنع أعلاف الوادي,24.4467733,46.9790173,"CXWH+PJ2, Riyadh",Restaurants,"store,food,point_of_interest,establishment",5
Nawrath Atheen,24.4486172,46.9780812,"Muhammed Al Madani, Riyadh",Other Stores,"store,point_of_interest,establishment",
