district_en,district_ar,villas,apartments_landuse,apartments_listed,total_residential,villa_percentage,apartment_percentage
Al Mughrazat Dist.,حي المغرزات,1183,425,56,1608,73.57,26.43
Al Marwah Dist.,حي المروة,1206,301,55,1507,80.03,19.97
Al Khuzama Dist.,حي الخزامى,1500,2,21,1502,99.87,0.13
Salahuddin Dist.,حي صلاح الدين,1222,142,25,1364,89.59,10.41
Al Sharafiyah Dist.,حي الشرفية,1226,130,41,1356,90.41,9.59
Al Duraihemiyah Dist.,حي الدريهمية,986,283,25,1269,77.7,22.3
Al Hada Dist.,حي الهدا,1223,15,30,1238,98.79,1.21
Al Raed Dist.,حي الرائد,1045,192,23,1237,84.48,15.52
Al Badiah Dist.,حي البديعة,1033,98,46,1131,91.34,8.66
Utayqah Dist.,حي عتيقة,1041,84,39,1125,92.53,7.47
Al Jarradiyah Dist.,حي الجرادية,1002,122,52,1124,89.15,10.85
Al Majd Dist.,حي المجد,1094,0,0,1094,100.0,0.0
Al Zahra Dist.,حي الزهراء,994,92,24,1086,91.53,8.47
Al Dhubbat Dist.,حي الضباط,887,136,69,1023,86.71,13.29
Manfuha Al Jadidah Dist.,حي منفوحة الجديدة,743,244,74,987,75.28,24.72
King Abdulaziz Dist.,حي الملك عبدالعزيز,890,75,19,965,92.23,7.77
Al Bariyah Dist.,حي البرية,686,201,11,887,77.34,22.66
Al Mathar Dist.,حي المعذر,784,40,74,824,95.15,4.85
Al Fakhiriyah Dist.,حي الفاخرية,595,55,14,650,91.54,8.46
Al Uraija Dist.,حي العريجاء,478,66,15,544,87.87,12.13
Hyt Dist.,حي هيت,508,35,16,543,93.55,6.45
Al Amal Dist.,حي العمل,341,161,70,502,67.93,32.07
Al Nasiriyah Dist.,حي الناصرية,433,52,19,485,89.28,10.72
Al Namudhajiyah Dist.,حي النموذجية,323,77,27,400,80.75,19.25
Al Mishael Dist.,حي المشاعل,5,391,31,396,1.26,98.74
Al Sulay Dist.,حي السلي,2,385,33,387,0.52,99.48
Al Mutamarat Dist.,حي المؤتمرات,295,90,12,385,76.62,23.38
Al Sinaiyah Dist.,حي الصناعية,340,37,16,377,90.19,9.81
As Salhiyah Dist.,حي الصالحية,350,26,19,376,93.09,6.91
Al Dirah Dist.,حي الديرة,351,15,37,366,95.9,4.1
Al Masani Dist.,حي المصانع,124,220,35,344,36.05,63.95
Olaishah Dist.,حي عليشة,289,24,21,313,92.33,7.67
Umm Saleem Dist.,حي ام سليم,204,44,24,248,82.26,17.74
Thulaim Dist.,حي ثليم,220,25,38,245,89.8,10.2
Al Futah Dist.,حي الفوطة,107,121,40,228,46.93,53.07
Al Shumaisi Dist.,حي الشميسي,144,56,46,200,72.0,28.0
Al Noor Dist.,حي النور,86,112,20,198,43.43,56.57
Al Dahou Dist.,حي الدحو,164,8,1,172,95.35,4.65
Skirinah Dist.,حي سكيرينة,149,5,19,154,96.75,3.25
