place_id,name,lat,lng,types
ChIJBeLM_MIFLz4RTtY9VIsX6rU,فندق التاج القديم هدموه للأسف عام ٢٠٢٤م,24.6429517,46.71686589999999,"lodging,point_of_interest,establishment"
ChIJh1HyCQAFLz4RhNwvxyarqng,فندق رونق السلام,24.6422931,46.7171955,"lodging,point_of_interest,establishment"
ChIJJ9PYGwAFLz4Rbz7IfEfI7m4,Residential Apartments,24.664395,46.6990463,"point_of_interest,establishment"
ChIJ9zQMSQAFLz4RMUrC_gyY8qg,جمعية سقدان جاز,24.6556725,46.6996265,"point_of_interest,establishment"
ChIJTYhDhM8FLz4RVgCcL7vZzl8,"Ferdous building 20, As Sayuti street",24.6600359,46.69724799999999,"point_of_interest,establishment"
ChIJwWuxGgAFLz4R2uTZu56kbgw,S,24.661992,46.6969001,"point_of_interest,establishment"
ChIJ32IgMwADLz4RRckyo0Hbu7g,Al nasriyah,24.6583618,46.6951671,"point_of_interest,establishment"
ChIJzSdsCwAFLz4RSNAbRV_y9xU,Riyadh Apartment,24.65925170000001,46.6958419,"lodging,point_of_interest,establishment"
ChIJqQBXXQAFLz4RVkWp9h2oQGU,Bahaa Albitar,24.6601352,46.6943224,"point_of_interest,establishment"
ChIJZwUaWioFLz4RP4cM_eOacTY,OYO 131 Al Hamra Palace Al Jawazat Branch,24.6599288,46.70050439999999,"lodging,point_of_interest,establishment"
ChIJ29wWv-gFLz4RSz1Yg3zETB4,1800 Degrees hotel,24.6534194,46.68929879999999,"lodging,point_of_interest,establishment"
ChIJtzBQgI0ELz4RoohLHsHSwwQ,First Room Hotel,24.6603671,46.6996338,"lodging,point_of_interest,establishment"
ChIJj4qPtTYDLz4R4398_Rr-YiE,Ramada by Wyndham Riyadh King Fahd Road,24.6602536,46.7003703,"lodging,point_of_interest,establishment"
ChIJQf-3EcAELz4RaiY4D3MBp1A,Saudi Hotel,24.6533586,46.6890969,"lodging,point_of_interest,establishment"
ChIJQd9IVmoFLz4Ra88AQbpXU3w,voco Riyadh by IHG,24.6666516,46.69674699999999,"lodging,point_of_interest,establishment"
ChIJeRQscWIFLz4R8hKLB_XnWZ0,Golden Quba1القبة الذهبية النموذجية,24.6590312,46.6960499,"point_of_interest,establishment"
ChIJy9c6n4AFLz4RNtLeFuc5Ce4,عماره 3.,24.6505188,46.6972137,"point_of_interest,establishment"
