latitude,longitude,type,name,district
24.6789335,46.8606576,Residential - Other,Unnamed,
24.6790316,46.8606579,Residential - Other,Unnamed,
24.7084522,46.6806268,Residential - Other,Unnamed,
24.7085346,46.6808226,Residential - Other,Unnamed,
24.708659,46.6809942,Residential - Other,Unnamed,
24.708732,46.6811775,Residential - Other,Unnamed,
24.709083,46.6811134,Residential - Other,Unnamed,
24.709017,46.6807965,Residential - Other,Unnamed,
24.708897,46.6805676,Residential - Other,Unnamed,
24.708775,46.6803372,Residential - Other,Unnamed,
24.7087721,46.6801378,Residential - Other,Unnamed,
24.7086944,46.6799499,Residential - Other,Unnamed,
24.7082142,46.6803268,Residential - Other,Unnamed,
24.7082699,46.6798598,Residential - Other,Unnamed,
24.7085572,46.6796528,Residential - Other,Unnamed,
24.7079315,46.6838475,Residential - Other,Unnamed,
24.6948468,46.6851014,Residential - Other,Unnamed,
24.6888338,46.6797833,Residential - Other,Unnamed,
24.6880023,46.6809348,Residential - Other,خالد كمباوند,
24.6887996,46.6784546,Residential - Other,Unnamed,
24.6888338,46.6785481,Residential - Other,Unnamed,
24.6904715,46.6792033,Residential - Other,Unnamed,
24.7003058,46.6840768,Residential - Other,Unnamed,
24.700651,46.6838939,Residential - Other,Unnamed,
24.7005479,46.6839411,Residential - Other,Unnamed,
24.7005683,46.6836781,Residential - Other,Unnamed,
24.7004611,46.6837377,Residential - Other,Unnamed,
24.7004085,46.6833093,Residential - Other,Unnamed,
24.7003236,46.6830855,Residential - Other,Unnamed,
24.7002109,46.6831439,Residential - Other,Unnamed,
24.7002957,46.6833528,Residential - Other,Unnamed,
24.7002218,46.6838712,Residential - Other,Unnamed,
24.70012,46.684173,Residential - Other,Unnamed,
24.6999456,46.6842623,Residential - Other,Unnamed,
24.6998652,46.6840557,Residential - Other,Unnamed,
24.6912101,46.6796997,Residential - Other,شقق داون تاون الرياض,
24.6913717,46.6769011,Residential - Other,Travertion by Madara,
24.6914262,46.677053,Residential - Other,Travertino by Madara,
24.6914706,46.6771559,Residential - Other,Travertino by Madara,
24.6915101,46.6772562,Residential - Other,Travertino by Madara,
24.6915486,46.6773528,Residential - Other,Travertino by Madara,
24.6915919,46.6774537,Residential - Other,Travertino by Madara,
24.6916315,46.677548,Residential - Other,Travertino by Madara,
24.6992916,46.6813581,Residential - Other,Unnamed,
24.6935628,46.6787032,Residential - Other,Unnamed,
24.6934886,46.6785134,Residential - Other,Unnamed,
24.7087344,46.683082,Residential - Other,Unnamed,
24.7087759,46.6831854,Residential - Other,Unnamed,
24.7088181,46.6832749,Residential - Other,Unnamed,
24.7088528,46.6833666,Residential - Other,Unnamed,
24.708884,46.6834472,Residential - Other,Unnamed,
24.7086108,46.6835787,Residential - Other,Unnamed,
24.708562,46.6835093,Residential - Other,Unnamed,
24.7085169,46.6834272,Residential - Other,Unnamed,
24.7084687,46.6833407,Residential - Other,Unnamed,
24.7084192,46.6832567,Residential - Other,Unnamed,
24.6994793,46.6817805,Residential - Other,Unnamed,
24.6991104,46.6809309,Residential - Other,Unnamed,
24.6987413,46.6816599,Residential - Other,Unnamed,
24.6985686,46.6812425,Residential - Other,Unnamed,
24.6983849,46.6808456,Residential - Other,Unnamed,
24.6982012,46.6803927,Residential - Other,Unnamed,
24.6989128,46.6820529,Residential - Other,Unnamed,
24.6989465,46.68052,Residential - Other,Unnamed,
24.6987662,46.6801136,Residential - Other,Unnamed,
24.7083086,46.6838204,Residential - Other,Unnamed,
24.7081225,46.6838336,Residential - Other,Unnamed,
24.7077453,46.6838676,Residential - Other,Unnamed,
24.7082654,46.6835033,Residential - Other,Unnamed,
24.7081752,46.6835213,Residential - Other,Unnamed,
24.7080914,46.6835423,Residential - Other,Unnamed,
24.707993,46.6835715,Residential - Other,Unnamed,
24.7076445,46.683213,Residential - Other,Unnamed,
24.7076388,46.6834248,Residential - Other,Unnamed,
24.7076466,46.6836231,Residential - Other,Unnamed,
24.7075504,46.6844061,Residential - Other,Unnamed,
24.7075351,46.6841982,Residential - Other,Unnamed,
24.7075207,46.6839994,Residential - Other,Unnamed,
24.7080123,46.6831059,Residential - Other,Unnamed,
24.7081034,46.6830673,Residential - Other,Unnamed,
24.708183,46.6830329,Residential - Other,Unnamed,
24.7082613,46.6830009,Residential - Other,Unnamed,
24.7084036,46.6828906,Residential - Other,Unnamed,
24.7083335,46.6829481,Residential - Other,Unnamed,
24.7084731,46.6828054,Residential - Other,Unnamed,
24.708668,46.6827207,Residential - Other,Unnamed,
24.7084122,46.6825358,Residential - Other,Unnamed,
24.7083444,46.682349,Residential - Other,Unnamed,
24.691406,46.6733012,Residential - Other,Unnamed,
24.6928123,46.6768881,Residential - Other,Unnamed,
