lat,lon,parcel_type,parcel_id,landuseagroup,area_sqm
24.735827888,46.644752026,villa,1404707,سكني,968.46929251018
24.735404004,46.644231677,villa,1405474,سكني,1286.0908749917203
24.726614188,46.643547714,villa,3510637,سكني,447.85287844860153
24.727751929,46.645438671,apartment,1398674,متعدد الاستخدام,1102.2776662868957
24.735925332,46.648413241,villa,1405587,سكني,2346.816806107619
24.727681278,46.644086838,villa,1398712,سكني,1067.7751262045165
24.729583988,46.648287177,apartment,13991975,متعدد الاستخدام,2472.2391365388585
24.72811006,46.640675068,villa,13768604,سكني,749.1799098194859
24.726648296,46.64468497,villa,1399485,سكني,751.5878620610356
24.735391824,46.644738615,villa,1405482,سكني,1342.7667385200916
24.734600084,46.64459914,villa,1405453,سكني,1028.3816037569284
24.728302524,46.64408952,apartment,1398662,متعدد الاستخدام,986.2184387440028
24.726943086,46.64579004,apartment,1398687,متعدد الاستخدام,1142.7059024698376
24.727033229,46.643435061,apartment,1398720,متعدد الاستخدام,892.7247180058878
24.733530617,46.642252207,villa,1405471,سكني,698.2539336848644
24.728553458,46.644215584,apartment,1398665,متعدد الاستخدام,859.7845075641129
24.727155043,46.640208364,villa,1405304,سكني,966.7798844624866
24.731333188,46.640972793,villa,1405319,سكني,730.8599803741783
24.732980045,46.645798087,villa,1405341,سكني,1002.0471707890173
24.735206679,46.643990278,villa,1405442,سكني,997.5753401711639
24.731021355,46.644167304,villa,1404720,سكني,977.4860634587466
24.731128548,46.643917859,villa,1404705,سكني,969.4064965602305
24.727817708,46.640170813,villa,1404716,سكني,615.3748179135238
24.735491704,46.646205783,villa,1404712,سكني,961.9509834675728
24.732258939,46.647010446,apartment,1404659,متعدد الاستخدام,828.5908610479672
24.732526918,46.644027829,villa,1404698,سكني,976.6711372579628
24.728816573,46.644674242,villa,1399514,سكني,797.6439724571994
24.730378196,46.64514631,apartment,1399518,متعدد الاستخدام,874.6732541077895
24.732098151,46.648027003,villa,1404150,سكني,636.5715816777953
24.732000704,46.648254991,villa,1404134,سكني,631.8723655218853
24.734984992,46.64558351,villa,1405355,سكني,977.0848571612465
24.732419727,46.644282639,villa,1405348,سكني,999.0466613921467
24.732663344,46.640870869,villa,1405733,سكني,1027.9784255449397
24.737094657,46.647718549,villa,1405428,سكني,882.209417873323
24.729859281,46.640484631,apartment,1405674,متعدد الاستخدام,1178.6515620785565
24.733174938,46.646036804,villa,1404694,سكني,1255.8747097313337
24.727062464,46.639835536,villa,1405322,سكني,510.56728938451903
24.734609828,46.645940244,villa,1404723,سكني,979.625812553264
24.731559754,46.642909348,villa,1405008,سكني,1015.1086750536725
