DISTRICTNAME_AR,DISTRICTNAME_EN,DISTRICT_ID,CITY
السعادة,Al Saadah,00103043009,
السعودية,As Saudia,00110001035,
السفارات,Assafarat,00100001019,
السلام,As Salam,00103001014,
السلام,As Salam,00121001002,
السلام,As Salam,00108001026,
السلام,As Salam,00105001001,
السلام,As Salam,00122222001,
السلام,As Salam,00104004028,
السلام,As Salam,00110001019,
السلام,As Salam,00100001132,
السلام,As Salam,00115001016,
السلام,As Salam,00102002036,الخرج
السلام,As Salam,00103023004,ساجر
السلام,As Salam,00118001013,الحريق
السلام ,As Salam,00111114008,
السلمية,Al Silmia,00102002014,الخرج
السلي,Al Sulay,00100001073,
السليمانية,As Sulaymaniyah,00105073001,
السليمانية,As Sulaymaniyah,00100001152,
السليمانية,As Sulaymaniyah,00121001021,
السليمانية,As Sulaymaniyah,00101001012,
السليمانية,As Sulaymaniyah,00111001015,عفيف
السمرية,Al Suwmaria,00104005008,
السنبلة,As Sunbulah,00103001020,
السهباء,Al Sahba,00102002021,الخرج
السويدي,Al Suwaidi,00100001190,
السويدي الغربي,Al Suwaidi Al Gharbi,00100001060,
السويدية,Al Suwaidiah,00118001005,الحريق
السيح,As Sih,00108001024,
السيح,As Sih,00102002035,الخرج
الشبيلية1,Ash Shabilia1,00104004018,
الشبيلية2,Ash Shabilia2,00104004006,
الشتينية,Al Shatinia,00103236020,
الشرافا,Al Sharafa,00106001001,
الشرفية,Ash Sharafiyah,00109006005,
الشرفية,Ash Sharafiyah,00100001180,
الشرق,Ash Sharq,00102002019,الخرج
الشروق,Ash Shrouk,00113001019,
الشروق,Ash Shrouk,00104006001,روضة سدير
الشعلة,Al Sholah,00100001017,
الشعيبة,Al Shueayba,00104005010,
الشعيفان,Al Shaaifan,00122002033,
الشفاء,Ash Shifa,00105073012,
الشفاء,Ash Shifa,00112001003,
الشفاء,Ash Shifa,00120001012,
الشفاء,Ash Shifa,00104004005,
الشفاء,Ash Shifa,00100001040,
الشفاء,Ash Shifa,00109006010,
الشفاء,Ash Shifa,00103043006,
الشفاء,Ash Shifa,00104006002,روضة سدير
الشفاء,Ash Shifa,00109001010,شقراء
الشلال,Ash Shalaal,00114001007,
الشلال,Ash Shalaal,00111001002,عفيف
الشمالي,Ash Shamali,00103043010,
الشمالية,Ash Shamaliyah,00104005009,
الشموع,Ash Shumu,00122002001,
الشميسي,Al Shumaisi,00100001155,
الشهداء,Ashuhada,00100001179,
الشهداء,Ashuhada,00101001009,
الشهداء,Ashuhada,00101002010,
الشهداء,Ashuhada,00103043001,
الشهداء,Ashuhada,00102002024,الخرج
الصافي,As Saafy,00102002001,الخرج
الصالحية,As Salhiyah,00106001010,
الصالحية,As Salhiyah,00103236012,
الصالحية,As Salhiyah,00100001158,
الصالحية,As Salhiyah,00107001024,
الصحافة,Al Sahafah,00103001015,
الصحافة,Al Sahafah,00100001080,
الصحن,As Sahn,00120001025,
الصحنة,Al Sahnah,00121001007,
الصدر,Al Sadr,00110001020,
الصديق,As Sediq,00108001014,
الصفاء,As Safa,00122002005,
الصفاء,As Safa,00100001031,
الصفراء,Al Safra,00109001012,شقراء
الصقورية,As Suquriyyah,00114001019,
الصناعية,Industrial,00103001019,
الصناعية,Industrial,00107001008,
الصناعية,Industrial,00103236010,
الصناعية,Industrial,00115001001,
الصناعية,Industrial,00100001039,
الصناعية,Industrial,00114001003,
الصناعية,Industrial,00120001003,
الصناعية,Industrial,00107017019,
الصناعية,Industrial,00120013003,
الصناعية,Industrial,00108001044,
الصناعية,Industrial,00119001017,
الصناعية,Industrial,00121001017,
الصناعية,Industrial,00109006008,
الصناعية,Industrial,00105001038,
الصناعية,Industrial,00105073020,
الصناعية,Industrial,00104005014,
الصناعية,Industrial,00110001023,
الصناعية,Industrial,00104006011,روضة سدير
الصناعية,Industrial,00104021010,تمير
الصناعية,Industrial,00109001008,شقراء
الصناعية,Industrial,00103023011,ساجر
الصناعية,Industrial,00118001018,الحريق
الصناعية الأولى,1st Industrial,00104001026,
الصناعية الأولى,1st Industrial,00111001005,عفيف
الصناعية الثانية,second industrial,00104001004,
الصناعية الجديدة,New Industrial,00104005002,
الضباب,Al Dabab,00111001021,عفيف
الضباط,Al Dhubbat,00100001159,
الضبية,Al Dabih,00122222014,
الضبيعة,Al Dabiea,00121001030,
الضريب,Ad Darib,00105001007,
الطرف,Al Taraf,00107017022,
الطريف,Al Turaif,00101001015,
الطوالع,Altawalie,00118001020,الحريق
العارض,Al Arid,00100001085,
العارض,Al Arid,00113001004,
العارض,Al Arid,00102002027,الخرج
العاصمة,Al Asemah,00101001006,
العالية,Al Aliyah,00102002033,الخرج
العدامة,Al Adamah,00102002051,الخرج
العدل,Al Adel,00101002003,
العذار,Al Adhaar,00121001005,
العرنية,Al Urania,00119001002,
العريجاء,Al Uraija,00100001025,
العريجاء الأوسط,Middle Al Uraija,00100001163,
العريجاء الغربي,West Al Uraija,00100001143,
العزيزية,Al Aziziyah,00108001013,
العزيزية,Al Aziziyah,00103001008,
العزيزية,Al Aziziyah,00113001006,
العزيزية,Al Aziziyah,00109006003,
العزيزية,Al Aziziyah,00106001039,
العزيزية,Al Aziziyah,00120001030,
العزيزية,Al Aziziyah,00107001025,
العزيزية,Al Aziziyah,00104004023,
العزيزية,Al Aziziyah,00100001122,
العزيزية,Al Aziziyah,00116001011,
العزيزية,Al Aziziyah,00103043007,
العزيزية,Al Aziziyah,00104021008,تمير
العزيزية1,Al Aziziyah1,00120001017,
العسيلة,Al Usaylah,00102007002,
العطيان,Al Atyan,00110001006,
العطيفة,Al Utifa,00120001007,
العفجة,Aleafaja,00102002005,الخرج
العقيشية,Al Aqishiya,00103236024,
العقيق,Al Aqiq,00106001018,
العقيق,Al Aqiq,00100001145,
العقيق,Al Aqiq,00116001012,
العقيق,Al Aqiq,00102002028,الخرج
العلا,Al Ula,00100001075,
العلاوة,Al Allawah,00120001034,
العلب,Al Olab,00101001004,
العلوات,Al Ealawat,00103236021,
العلوات,Al Ealawat,00103082013,
العليا,Al Olaya,00114001006,
العليا,Al Olaya,00106001011,
العليا,Al Olaya,00105073003,
العليا,Al Olaya,00100001141,
العليا,Al Olaya,00121001019,
العليا,Al Olaya,00103001025,
العماجية,Al Ammajiyah,00100001140,
العمار,Al Amaar,00122002020,
العمارية,Al Ammariyah,00111001017,عفيف
العمارية,Al Omariya,00103082015,
العمدة,Al Umda,00105001036,
العمل,Al Amal,00100001161,
العواش,Al Awash,00105001012,
العوالي,Al Awaly,00100001112,
العود,Al Oud,00100001034,
العيبه,Al Uaybah,00122222002,
العين,Al Ain,00101002006,
العيون,Al Uyun,00107001018,
العيون,Al Uyun,00102002045,الخرج
الغابة,Al Ghabah,00118001012,الحريق
الغدير,Al Ghadir,00119001014,
الغدير,Al Ghadir,00100001115,
الغدير,Al Ghadir,00104007003,
الغدير,Al Ghadir,00120001038,
الغدير,Al Ghadir,00104006003,روضة سدير
الغدير,Al Ghadir,00111001008,عفيف
الغروب,Al Ghurub,00104006013,روضة سدير
الغريبية,Al Gharibia,00122002035,
الغضا,Al Kada,00110001013,
الغطغط,Al Ghataght,00114001016,
الغنامية,Al Ghannamiyah,00100001107,
الغويبة,Al Ghuwaiba,00107024010,
الفاخرية,Al Fakhriyah,00100001064,
الفاخرية,Al Fakhriyah,00111001019,عفيف
الفاروق,Al Farouk,00100001013,
الفاروق,Al Farouk,00108001007,
الفتح,Al Fath,00122002007,
الفتح,Al Fath,00104004029,
الفحيل,Al Fahil,00107017020,
الفردوس,Al Ferdous,00103001024,
الفردوس,Al Ferdous,00108001035,
الفردوس,Al Ferdous,00122002027,
الفردوس,Al Ferdous,00118001009,الحريق
الفرسان,Al Fursan,00100001046,
الفرعة,Al Farah,00122002032,
الفرعة,Al Farah,00110001024,
الفرعة الشرقية,Al Farah Al Sharqia,00110001034,
الفرعة الشمالي,Al Farah Al Shamali,00110001003,
الفروسية,Al Frosyah,00104001013,
الفروسية,Al Frosyah,00108001012,
الفروسية,Al Frosyah,00107001020,
الفلاح,Al Falah,00121001010,
الفلاح,Al Falah,00100001027,
الفلاح,Al Falah,00105073017,
الفلاح,Al Falah,00104021012,تمير
الفلاح,Al Falah,00109001011,شقراء
الفلاح,Al Falah,00118001008,الحريق
الفوطة,Al Futah,00100001154,
الفيحاء,Al Fayha,00104001014,
الفيحاء,Al Fayha,00100001071,
الفيحاء,Al Fayha,00107017004,
الفيحاء,Al Fayha,00105073009,
الفيحاء,Al Fayha,00104007005,
الفيحاء,Al Fayha,00103043003,
الفيحانية,Al Fayhaniyah,00115001004,
الفيصلية,Al Faisaliyah,00103001012,
الفيصلية,Al Faisaliyah,00104007006,
الفيصلية,Al Faisaliyah,00107001010,
الفيصلية,Al Faisaliyah,00103236009,
الفيصلية,Al Faisaliyah,00108001004,
الفيصلية,Al Faisaliyah,00120001005,
الفيصلية,Al Faisaliyah,00101001017,
الفيصلية,Al Faisaliyah,00100001144,
الفيصلية,Al Faisaliyah,00109006009,
الفيصلية,Al Faisaliyah,00121001012,
الفيصلية,Al Faisaliyah,00116001003,
الفيصلية,Al Faisaliyah,00102002018,الخرج
