place_id,name,lat,lon,address,types,rating
ChIJWVkiHkUOLz4RwzYIxDY7J6Q,falafel Time restaurants,24.5500519,46.6980667,"ابن تيمية، بدر،, HM2X+26G, Riyadh","restaurant,point_of_interest,food,establishment",4
ChIJiZS34ZIOLz4RCGzHLLbOseM,KFC,24.5496791,46.7211729,"4076 Ibn Manadhir, Riyadh","restaurant,point_of_interest,food,establishment",3.5
ChIJA_vmXFAOLz4Rs_cePOuj_yw,Best pasta,24.5551257,46.7012423,"6400 Ibn Taymeeyah Road, Riyadh","restaurant,point_of_interest,food,establishment",4
ChIJJUlEVlAOLz4R7SV3HCBI1H8,Maestro Pizza,24.5557368,46.70184099999999,طريق ابن تيمية، الشفا، الرياض 6488,"meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",3.9
ChIJ5XCtlizIhRUR_ZWH3dXpSS0,دومينوز | Domino's,24.557406,46.70321300000001,"6684 Ibn Taymeeyah Road, Riyadh","meal_delivery,meal_takeaway,restaurant,point_of_interest,food,establishment",3.5
ChIJd-OiPVEOLz4R-yHmWyVucNk,Domino's Pizza,24.5574375,46.70313760000001,"6684 Ibn Taymeeyah Road, Riyadh","restaurant,point_of_interest,food,establishment",3.9
ChIJt0FfOVEOLz4RQ7_fRSIKPlQ,Pizzaratti AlShifa,24.557649,46.703449,"طريق ابن تيمية الفرعي, Riyadh","restaurant,point_of_interest,food,establishment",4.3
ChIJ64mHxVYOLz4RTvNKMbaTnC8,McDonald's,24.558167,46.70514499999999,Riyadh,"restaurant,point_of_interest,food,establishment",3.8
ChIJCRB_rlYOLz4RuGe52ytX6B8,Subway,24.5584314,46.70415359999999,"6850 Ibn Taymiyyah St, Branch, Al Shifa, الرياض","restaurant,point_of_interest,food,establishment",3.9
ChIJDfZ3vlYOLz4RRJKOjtDvAZY,Alliwan Restaurant,24.5589923,46.7054587,"حي, طريق ابن تيمية ، بدر, Riyadh","restaurant,point_of_interest,food,establishment",4.1
ChIJtQHBrkgKLz4RA37vZsNUI-k,مطعم سلطان,24.5351225,46.7958638,Riyadh,"restaurant,point_of_interest,food,establishment",3.7
ChIJKS1TjXwJLz4R-IuhhkMGmXo,Pizza Turkish valley,24.5560781,46.778721,"RHTA2285، 2285 7799 Sayeed Qoutoub Road, Riyadh","restaurant,point_of_interest,food,establishment",4.1
ChIJe1pNs50JLz4R2qClBEnB1u8,Burger King - Azizia,24.569095,46.78924199999999,"Panda Supermarket, Azizia Rd, Riyadh","restaurant,point_of_interest,food,establishment",4
